You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1412k 4037k:1411k 4039k:1399k 4028k:1422k 4044k:5643k   16M|   0     0 :   0     0 :   0     0 :   0     0 |  56B  196B|1842  2333 
  0   0 100   0   0   0|   0     0 :2893k    0 :   0     0 :   0     0 :2893k    0 |   0     0 :  50k   13k: 127B  491B:  51k   13k|   0     0 | 378   396 
  0   0 100   0   0   0|   0     0 :2893k    0 :   0     0 :   0     0 :2893k 6554B|   0     0 :  33k 6558B:  28k   42k:  69k   48k|   0     0 |1669  1518 
  0   0 100   0   0   0|   0    18k:2893k   14k:   0    12k:   0    20k:2893k   67k|   0     0 :  25k   12k: 311k 1710B: 338k   14k|   0     0 | 444   501 
  0   0 100   0   0   0|   0     0 :2483k    0 :   0     0 :   0     0 :2483k 4915B|   0     0 :  24k 6682B: 339B  788B:  26k 7470B|   0     0 | 349   401 
 21   2  76   1   0   0|2484k   23k:  54M   13k:  52M   15k:  16M   13k: 125M   74k| 633B  633B:  38k 8634B:  29M 9641k:  29M 9650k|   0     0 |9546  2285 
 41  25  25   6   0   3| 293M   45k: 186M   35k: 258M   30k: 404M   38k:1141M  161k|   0     0 :  31k 6872B: 349M  240M: 349M  240M|   0     0 |  76k 9213 
 46  34   8   8   0   4| 438M   46k: 616M   29k: 436M   27k: 331M   32k:1822M  144k|  31B   31B:  31k   18k: 330M  429M: 330M  429M|   0     0 |  89k   17k
 47  17  15  17   0   5| 446M   38k: 519M   30k: 559M   30k: 579M   30k:2104M  180k|   0     0 :  32k   19k: 388M  458M: 388M  458M|   0     0 | 102k   26k
 50  16  14  15   0   4| 499M   94k: 419M  365k: 478M   70k: 585M   85k:1981M  626k|   0     0 :  29k   34k: 323M  444M: 323M  444M|   0     0 | 105k   20k
