You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1409k 3412k:1438k 3422k:1425k 3405k:1403k 3415k:5676k   13M|   0     0 :   0     0 :   0     0 :   0     0 |  31B  192B|1728  2145 
  0   0  99   0   0   0|1664k  106k:   0    36k: 674k   38k:   0   118k:2378k  315k| 639k  639k:  42k 2408B:  11k  648k:  54k  650k|   0     0 | 992   973 
  0   0 100   0   0   0|2509k    0 :   0     0 :   0  7373B:   0     0 :2509k   15k|   0     0 :  40k  781B: 293k  294k: 335k  294k|   0     0 | 445   418 
 20  20  60   0   0   0|2458k    0 :   0     0 :   0     0 :   0  9830B:2857k   22k|  21M   21M:  26k 4984B:  29k 3444B:  55k 8427B|   0     0 |5790  5539 
 59  36   4   0   0   1|2074k  184k:   0   208k: 819B  197k:   0   184k:2074k  786k| 554M  554M:  20k  781B:7633B 9351B:  28k   10k|   0     0 |  28k   69k
 64  34   1   0   0   1|2074k  223k:   0   597k:   0   791k:   0   256k:2074k 2127k| 790M  790M:  39k 1874B:  12k   14k:  51k   16k|   0     0 |  19k   91k
 69  29   0   0   0   1|2458k  188k:   0   206k:   0   211k:   0   232k:2458k  855k| 906M  906M:  32k  781B:9045B   15k:  41k   15k|   0     0 |  13k  105k
 73  26   0   0   0   1|2074k  214k:   0   217k:   0   217k:   0   158k:2074k  826k| 959M  959M:  29k 4984B:  10k   17k:  39k   22k|   0     0 |  12k  110k
 79  19   0   0   0   2|2483k  692k:   0    74k:   0    93k:   0  1661k:2483k 2807k|1089M 1089M:  33k  790B:  10k   20k:  43k   20k|   0     0 |  11k  120k
 78  20   0   0   0   2|2048k   77M:   0   169M:   0    77M:   0    26M:2048k  350M|1162M 1162M:  27k 5047B:  11k   22k:  37k   27k|   0     0 |  10k  127k
 74  23   0   0   0   3|2483k   26M:1638B  827M: 819B  787M:   0    77M:2486k 1718M|1192M 1192M:  42k  781B:9469B   23k:  52k   23k|   0     0 |  13k  133k
 69  27   0   0   0   4|2050k  860M:   0   346M:   0   478M:   0   701M:2050k 2385M|1336M 1336M:  33k 4984B:9225B   24k:  42k   29k|   0     0 |  14k  150k
 70  27   0   0   0   3|2050k  405M:   0    24k:   0    33k:   0   589M:2050k  994M|1550M 1550M:  31k  781B:8768B   26k:  40k   26k|   0     0 |  13k  169k
 67  28   1   0   0   3|   0   179M:2509k  179M:   0   226M:   0   174M:2509k  757M|1766M 1766M:  40k 5524B:8448B   28k:  49k   33k|   0     0 |  15k  185k
 63  32   0   0   0   5|3277B  705M:2074k  798M: 819B  316M:   0   239M:2078k 2058M|1777M 1777M:  39k  800B:9021B   29k:  48k   30k|   0     0 |  18k  187k
 62  33   1   0   0   5|1638B  587M:2458k  391M: 819B  336M: 819B  569M:2462k 1883M|1889M 1889M:  23k 5148B:9658B   31k:  34k   36k|   0     0 |  19k  198k
 62  32   1   0   0   4|   0   129M:2074k  232M:1638B  958M:   0   437M:2075k 1756M|1961M 1961M:  21k  790B:8867B   28k:  30k   29k|   0     0 |  20k  207k
 62  33   1   0   0   5|3277B  360M:2483k  118M:3277B  962M:   0   335M:2490k 1775M|1920M 1920M:  38k 5047B:9717B   31k:  48k   36k|   0     0 |  23k  204k
 60  34   1   0   0   5|1638B  827M:2051k 1069M:   0    67M:   0   740M:2053k 2703M|1914M 1914M:  33k  781B:9351B   30k:  42k   31k|   0     0 |  23k  203k
 62  33   1   0   0   4| 819B  284M:2483k  316M:   0   568M: 819B  447M:2485k 1615M|2013M 2013M:  30k   71B:9180B   30k:  39k   30k|   0     0 |  19k  210k
 62  33   1   0   0   4|   0   310M:2484k  432M:   0   663M: 819B  361M:2485k 1766M|1993M 1993M:  31k 5712B:  10k   32k:  41k   38k|   0     0 |  20k  210k
 59  34   1   0   0   5|2458B  821M:2077k  800M:   0   266M:3277B  953M:2082k 2841M|1964M 1964M:  26k 1874B:8817B   29k:  34k   30k|   0     0 |  19k  210k
 63  32   1   0   0   4| 819B  208M:2458k  105M: 819B  645M: 819B   84M:2460k 1042M|1992M 1992M:  41k  781B:9889B   31k:  51k   32k|   0     0 |  17k  210k
 62  33   1   0   0   5| 819B  559M:2050k  592M:   0   129M:1638B  656M:2053k 1936M|2013M 2013M:  31k   52B:9481B   31k:  41k   31k|   0     0 |  17k  212k
 61  33   1   0   0   5|1638B  889M:1764k  203M:  13k  283M:1638B  810M:1780k 2185M|1939M 1939M:  29k 5722B:9401B   29k:  39k   35k|   0     0 |  21k  203k
 61  34   1   0   0   5| 819B  385M:2896k  623M: 819B  672M: 819B  359M:2898k 2039M|2051M 2051M:  40k   69B:9615B   31k:  52k   32k|   0     0 |  24k  216k
 60  34   1   0   0   5| 819B  569M:2486k  656M:3277B  438M:2458B  596M:2492k 2260M|1959M 1959M:  45k 5785B:9830B   31k:  55k   37k|   0     0 |  27k  205k
 61  33   1   0   0   4|   0    51M:2485k  843M:2458B  723M:   0   103M:2487k 1721M|2071M 2071M:  22k   52B:8812B   28k:  31k   28k|   0     0 |  19k  216k
 61  33   1   0   0   5|1638B  624M:2049k  358M:   0   516M:1638B  626M:2053k 2124M|1955M 1955M:  19k 5712B:  10k   33k:  29k   39k|   0     0 |  28k  204k
 61  34   1   0   0   5| 819B  589M:2485k  595M:   0   477M: 819B  536M:2486k 2197M|2026M 2026M:  40k  616B:9304B   29k:  49k   30k|   0     0 |  20k  213k
 60  35   1   0   0   4|   0   361M:2484k  334M:   0   374M: 819B  387M:2485k 1456M|1978M 1978M:  35k 2603B:9892B   32k:  45k   34k|   0     0 |  19k  208k
 59  36   1   0   0   5|1638B  658M:2049k  309M:   0   335M:2458B  766M:2098k 2070M|1949M 1949M:  30k  198B:9143B   30k:  39k   30k|   0     0 |  21k  205k
 59  36   0   0   0   5| 819B  606M:2484k  408M: 819B  439M:   0   446M:2492k 1899M|1958M 1958M:  35k 5712B:9122B   29k:  44k   35k|   0     0 |  20k  208k
 59  35   1   0   0   5|   0   387M:2485k  572M:2458B  542M:   0   465M:2495k 1966M|1912M 1912M:  27k   52B:  10k   33k:  37k   33k|   0     0 |  22k  202k
 58  36   1   0   0   5|   0   567M:2050k  430M: 819B  377M:1638B  542M:2052k 1916M|1939M 1939M:  42k 5776B:9234B   29k:  51k   34k|   0     0 |  18k  204k
 58  36   1   0   0   5|   0   376M:2459k  809M: 819B  835M:1638B  403M:2462k 2424M|1952M 1952M:  38k   52B:9629B   31k:  58k   31k|   0     0 |  19k  205k
 60  35   1   0   0   5|   0   605M: 819B  279M:2505k  296M: 819B  552M:2915k 1732M|1926M 1926M:  37k 5712B:9838B   31k:  47k   36k|   0     0 |  19k  204k
 61  34   1   0   0   4|   0   195M:1638B  784M:2460k  365M: 819B  174M:2547k 1518M|1947M 1947M:  41k   52B:  11k   31k:  53k   31k|   0     0 |  20k  206k
 60  34   1   0   0   5|   0   376M:5734B  437M:1010k  890M: 320k  374M:1336k 2078M|1915M 1915M:  42k 2612B:9534B   30k:  53k   33k|   0     0 |  25k  205k
 59  35   1   0   0   5|   0   723M:3328k  258M: 819B  226M:1638B  826M:3330k 2032M|1990M 1990M:  24k   52B:  10k   32k:  35k   32k|   0     0 |  27k  215k
 59  34   1   0   0   5|   0   363M:2074k  419M:1638B  737M:   0   258M:2076k 1777M|2018M 2018M:  21k 6321B:  10k   31k:  32k   37k|   0     0 |  44k  220k
 34  20  43   1   0   3|  27k  359M:2486k  671M:6554B  130M:1638B  413M:2521k 1574M|1088M 1088M:  39k   52B:8068B   23k:  47k   23k|   0     0 |  75k  146k
 13   8  73   4   0   1|   0   483M:2458k  615M:1638B  703M: 819B  350M:2461k 2152M| 295M  295M:  34k 2126B:8466B 7909B:  43k   10k|   0     0 |  33k   52k
  8   6  83   2   0   1|   0   275M:2483k  269M:   0   110M:   0   405M:2483k 1059M| 290M  290M:  30k   52B:1590B 4699B:  31k 4751B|   0     0 |  30k   52k
  8   4  87   0   0   0|   0  7373B:2483k 7373B:   0  7373B:   0  7373B:2483k   92k| 283M  283M:  34k 5712B:1605B 4943B:  35k   10k|   0     0 |  26k   50k
  7   4  88   0   0   1|   0  7373B:2074k 7373B:   0  7373B:   0  8192B:2074k   61k| 270M  270M:  28k   62B:1606B 5039B:  29k 5100B|   0     0 |  24k   47k
  8   4  87   0   0   0|   0  8192B:2458k 8192B:   0  7373B:   0  7373B:2458k   40k| 292M  292M:  43k 6253B:1569B 4690B:  45k   11k|   0     0 |  27k   52k
  2   3  94   0   0   1| 819B  419M:2483k   21k:   0    77M:1638B  397M:2522k  893M|  45M   45M:  33k  189B:1521B 4305B:  34k 4495B|   0     0 |8236  9134 
