You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1414k 3746k:1411k 3748k:1401k 3737k:1423k 3753k:5649k   15M|   0     0 :   0     0 :   0     0 :   0     0 |  55B  196B|1767  2240 
  0   1  99   0   0   0|   0    52M:2868k   78M:   0    78M: 819B   78M:2869k  284M|  33k   33k:  31k 6016B:1942k  129k:1974k  135k|   0     0 |4237  5885 
  2  11  86   0   0   0| 819B   78M:2484k   52M: 819B   52M:1638B   52M:2551k  233M| 942B  942B:  23k   14k: 303k 2256B: 326k   16k|   0     0 |3406  3448 
  8   4  87   1   0   0|   0    52M:2893k   78M:   0    78M:   0    78M:2909k  285M|  18k   18k:  38k 5047B:2362B   21k:  42k   26k|   0     0 |4738  6166 
 36  13  50   1   0   1|1638B   78M:2486k   52M:2458B   52M: 819B   78M:2490k  259M| 118M  118M:  32k   14k:  83M  157M:  83M  157M|   0     0 |  28k   26k
 58  31   7   0   0   4| 819B   29M:2486k   52M:   0    52M:   0    52M:2486k  185M| 336M  336M:  24k 4984B: 765M  897M: 765M  897M|   0     0 |  90k   75k
 57  38   1   0   0   4|   0  1681k:2458k  304k:   0   302k:   0   402k:2458k 2806k| 334M  334M:  53k   23k: 874M  902M: 875M  902M|   0     0 |  81k   73k
 61  35   0   0   0   4|   0   187k:2483k 3371k:   0   110k:   0   214k:2483k 3950k| 360M  360M:  40k   14k: 941M  896M: 941M  896M|   0     0 |  81k   73k
 63  33   0   0   0   4|   0    26M:2074k   44M:   0    27M:   0    27M:2074k  124M| 380M  380M:  31k   36k: 942M  875M: 942M  875M|   0     0 |  83k   76k
 62  33   0   0   0   6| 819B  279M:2458k  416M: 819B  337M:   0   387M:2459k 1420M| 375M  375M:  40k   30k: 950M  849M: 950M  849M|   0     0 |  72k   78k
 60  34   0   0   0   6|   0   607M:2074k  550M:   0   756M:   0   656M:2074k 2570M| 401M  401M:  35k   51k: 862M  755M: 862M  755M|   0     0 |  63k   75k
 59  35   0   0   0   6|   0   483M:2483k  410M:1638B  300M:   0   324M:2485k 1517M| 419M  419M:  25k   43k:1014M  855M:1014M  855M|   0     0 |  60k   86k
