You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1516k 4041k:1544k 4052k:1531k 4034k:1506k 4044k:6098k   16M|   0     0 :   0     0 :   0     0 :   0     0 |  31B  186B|1873  2357 
  0   0  99   0   0   0|   0   819B:2931k 2458B:9830B   11k:  10k 9011B:2991k   23k| 605k  605k:  36k 2810B:  83k  655k: 119k  658k|   0     0 | 766   698 
  0   0  99   0   0   0|   0    37k:2893k   36k:   0    38k:   0    37k:2893k  168k|   0     0 :  31k  781B: 340k   41k: 372k   41k|   0     0 |1647  1568 
  0   0  99   0   0   0|   0    20k:2483k   13k:   0    20k:   0    22k:2483k   82k|   0     0 :  46k   52B: 617B  704B:  47k  756B|   0     0 | 525   504 
 13   1  86   0   0   0|   0    38k:2867k   18k:   0     0 :   0    34k:3244k  100k| 633B  633B:  35k 5712B:  22k   20k:  57k   26k|   0     0 |2622  1321 
 39   7  46   6   0   2| 270M   40k: 287M   42k: 329M   37k: 197M   36k:1083M  206k|   0     0 :  25k 1534B: 295M  206M: 295M  206M|   0     0 |  62k   12k
 46  15  20  14   0   5| 485M  207k: 363M   53k: 523M   81k: 506M   29k:1876M  373k|  31B   31B:  22k  790B: 493M  601M: 493M  601M|   0     0 |  96k   28k
 48  20  11  15   0   6| 631M   36k: 406M   86k: 365M   37k: 613M   33k:2015M  206k|   0     0 :  31k   52B: 704M  509M: 704M  509M|   0     0 |  72k   37k
 48  23   9  14   0   6| 391M  965k: 538M   87k: 679M  131k: 503M  130k:2110M 1327k|   0     0 :  24k 5712B: 536M  404M: 536M  404M|   0     0 |  79k   39k
 24  66   1   3   0   5| 448M   38k: 314M   22k: 373M   30k: 379M   31k:1514M  134k|   0     0 :  38k 5383B: 481M  179M: 481M  179M|   0     0 |  47k   22k
