You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1298k 3496k:1302k 3510k:1299k 3499k:1308k 3509k:5207k   14M|   0     0 :   0     0 :   0     0 :   0     0 |  55B  207B|1761  2205 
  0   0 100   0   0   0|   0     0 :   0     0 :2483k    0 :   0     0 :2483k 3277B|   0     0 :  41k 6711B: 114B  490B:  42k 7201B|   0     0 | 310   376 
  0   0 100   0   0   0|   0     0 :   0     0 :2458k    0 :   0     0 :2458k 6554B|   0     0 :  32k   52B: 302k  306k: 334k  306k|   0     0 | 762   772 
  6  16  78   0   0   0|   0  8192B:   0    10k:2483k 8192B:   0  9830B:2490k   43k| 941B  941B:  32k 2462B:  24k 2978B:  56k 5439B|   0     0 |2190  1023 
 10  23  68   0   0   0|   0   173k:   0   176k:2483k  204k:   0   188k:2483k  758k|  19k   19k:  39k   52B:2444B 5922B:  42k 5974B|   0     0 |3389  1760 
 49  28  22   0   0   0|   0   176k:   0   189k:2483k  186k:   0   184k:2483k  750k| 299M  299M:  34k 5712B:  17k   16k:  51k   22k|   0     0 |  23k   43k
 63  35   1   0   0   1|   0   254k:   0   246k:2074k  246k:   0   240k:2074k 1274k| 737M  737M:  29k  189B:  13k   21k:  42k   21k|   0     0 |  23k   88k
 76  22   0   0   0   1|   0   207k:   0   205k:2458k  234k:   0   262k:2458k  925k| 940M  940M:  17k 5794B:  19k   24k:  37k   30k|   0     0 |  19k  111k
 80  19   0   0   0   2|   0    41k:   0    43k:2074k   44k:   0    42k:2074k  258k|1129M 1129M:  39k  623B:  20k   25k:  59k   25k|   0     0 |  14k  129k
 79  19   0   0   0   2|   0    55k:   0   338k:2483k   57k:   0    66k:2483k  593k|1161M 1161M:  32k 5712B:  24k   27k:  56k   33k|   0     0 |  10k  132k
 79  19   0   0   0   2|   0    26M:   0    38M:2483k  130M:   0    78M:2483k  272M|1140M 1140M:  30k   52B:  26k   26k:  56k   26k|   0     0 |  10k  128k
 75  22   0   0   0   3| 819B  129M:   0   555M:2048k  103M:   0   600M:2049k 1388M|1181M 1181M:  33k 6253B:  26k   21k:  60k   27k|   0     0 |  12k  132k
 69  26   0   0   0   4|4915B  481M:   0   724M:2476k  529M:   0   665M:2481k 2399M|1285M 1285M:  26k   52B:  30k   22k:  57k   22k|   0     0 |  13k  148k
 70  26   0   0   0   3|7373B  681M:   0    46k:2048k  581M:   0    47k:2055k 1262M|1453M 1453M:  42k 5712B:  29k   21k:  71k   27k|   0     0 |  13k  163k
 68  28   0   0   0   3| 846k  181M:   0   155M:1460k  180M:   0   105M:2306k  620M|1776M 1776M:  37k   52B:  31k   24k:  79k   24k|   0     0 |  12k  190k
