You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1754k 4225k:1781k 4236k:1762k 4217k:1747k 4228k:7045k   17M|   0     0 :   0     0 :   0     0 :   0     0 |  31B  186B|1933  2444 
  0   0 100   0   0   0|   0     0 :2458B   35k:2483k    0 :4915B   44k:2495k   88k| 845k  845k:  34k 6119B:  96k  876k: 130k  882k|   0     0 | 791   692 
  0   0 100   0   0   0|   0    37k:   0    34k:2483k   38k:   0     0 :2483k  134k|   0     0 :  33k  781B:9913B   10k:  43k   11k|   0     0 | 777   757 
  0   0 100   0   0   0|   0    41k:   0  8192B:2458k   49k:   0    14k:2458k  139k|   0     0 :  51k 4984B: 293k  980B: 344k 5964B|   0     0 | 464   478 
  7   0  92   0   0   0|   0    12k:   0    12k:2074k 9830B:   0    10k:2074k   54k| 633B  633B:  29k 1117B:  18k 2063B:  47k 3180B|   0     0 |1941   966 
 39   5  52   1   0   3|  21M   37k:3902k   34k:  16M   38k:  28M   50k:  69M  170k|   0     0 :  22k 1397B: 534M  222M: 534M  222M|   0     0 |  58k   11k
 39   9  45   2   0   5|  84M  203k:  80M   49k:  32M   30k:  60M   42k: 257M  334k|  31B   31B:  27k  781B: 728M  450M: 728M  450M|   0     0 |  74k   34k
 30   3  67   0   0   1|  50M   30k:   0   872k:  28M   67k:  35M   72k: 113M 1056k|   0     0 :  38k 4993B:  46M  116M:  46M  116M|   0     0 |  37k 5432 
 29   2  69   0   0   0|2074k   68k:   0    48k: 410k   45k:   0   158k:2483k  332k|   0     0 :  35k  781B:4072B 5115B:  39k 5896B|   0     0 |4986  2774 
 51  14  18  12   0   5| 134M   58k:  74M  388k: 190M   29k:  95M   45k: 493M  530k|   0     0 :  31k 1534B: 770M  630M: 770M  630M|   0     0 |  63k   43k
