You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1414k 3451k:1412k 3453k:1402k 3442k:1424k 3457k:5653k   13M|   0     0 :   0     0 :   0     0 :   0     0 |  55B  196B|1694  2143 
  0   0 100   0   0   0|   0     0 :   0     0 :2048k    0 :   0     0 :2048k 2458B|   0     0 :  49k 9077B: 115B  490B:  52k 9567B|   0     0 | 401   397 
  0   0 100   0   0   0|   0     0 :   0     0 :2918k    0 :   0     0 :2918k 6554B|   0     0 :  33k 7374B: 321k   37k: 354k   44k|   0     0 |1419  1394 
  0  16  83   0   0   0|   0    12k:   0    13k:2483k   20k:   0    13k:2483k   62k|   0     0 :  32k   11k:4556B  680B:  36k   12k|   0     0 |1238   557 
  3  27  70   0   0   0| 819B  167k:   0   178k:2483k  173k:   0   164k:2484k  685k| 633B  633B:  49k 7352B:  40k   20k:  89k   27k|   0     0 |2628   984 
 43  35  20   0   0   1|   0   278k:   0   278k:2048k  258k:   0   258k:2048k 1090k| 151M  151M:  28k   11k: 328M  275M: 328M  275M|   0     0 |  47k   38k
 58  35   3   0   0   3|   0   273k:   0   290k:2483k  255k:   0   235k:2483k 1065k| 324M  324M:  21k 7387B: 743M  641M: 743M  641M|   0     0 |  82k   72k
 71  21   4   0   0   4|   0   151k:   0    90k:2074k  116k:   0   159k:2074k  530k| 460M  460M:  22k   20k: 727M  774M: 727M  774M|   0     0 |  93k   87k
 71  22   3   0   0   4|   0    43k:   0    50k:2458k   39k:   0    46k:2458k  528k| 517M  517M:  50k   28k: 806M  870M: 806M  870M|   0     0 |  96k   93k
 68  26   1   0   0   5|   0   130M: 819B   78M:2074k  156M: 819B  130M:2075k  493M| 515M  515M:  35k   40k: 967M 1029M: 967M 1029M|   0     0 |  86k   94k
 66  27   0   0   0   6|   0   129M:   0   754M:2483k  821M:   0   773M:2483k 2478M| 459M  459M:  31k   39k: 806M  873M: 806M  873M|   0     0 |  73k   79k
 67  27   0   0   0   6|   0   634M:   0   640M:2048k  495M:   0   543M:2048k 2312M| 485M  485M:  34k   44k: 723M  833M: 723M  833M|   0     0 |  76k   81k
 60  30   4   0   0   6|   0   553M:   0    42k:2458k   32k:   0    29k:2458k  553M| 640M  640M:  29k   52k:1040M 1103M:1040M 1103M|   0     0 | 100k  118k
 54  31   9   0   0   6|1664k  155M: 819B  155M: 410k  206M:   0   107M:2074k  623M| 631M  631M:  46k   57k:1082M 1146M:1082M 1146M|   0     0 |  98k  128k
 45  33  14   1   0   7|2509k  581M:   0   155M:   0   676M:   0   755M:2509k 2166M| 536M  536M:  33k   62k:1149M 1030M:1149M 1030M|   0     0 |  82k  123k
 42  35  12   1   0   9|2048k  838M:   0   869M:   0   692M:   0   841M:2048k 3241M| 516M  516M:  31k   57k:1113M 1023M:1113M 1023M|   0     0 |  81k  126k
 49  38   5   0   0   8|2483k   30k: 819B  447M:   0    24k:   0    30k:2484k  447M| 651M  651M:  52k   62k:1565M 1440M:1565M 1440M|   0     0 |  90k  158k
 44  35  13   0   0   7|2074k  155M: 819B  387M:   0   894M:   0   155M:2074k 1590M| 608M  608M:  43k   57k:1179M 1207M:1179M 1207M|   0     0 |  94k  135k
 41  34  16   2   0   8|2458k  717M:   0   288M:   0   732M:   0   585M:2458k 2322M| 639M  639M:  21k   59k:1116M 1082M:1116M 1083M|   0     0 | 116k  150k
 42  34  14   2   0   8|2074k  780M:1638B  899M:   0    25k: 819B  860M:2076k 2539M| 644M  644M:  21k   57k:1089M 1076M:1089M 1076M|   0     0 | 119k  148k
 46  36  11   0   0   7|2483k   77M: 819B   51M:   0   232M:   0    30k:2484k  361M| 748M  748M:  38k   62k:1317M 1375M:1317M 1375M|   0     0 | 113k  161k
 37  34  22   0   0   7|2048k  692M:2458B  476M:   0   387M: 819B  438M:2051k 1993M| 596M  596M:  32k   57k:1130M 1221M:1130M 1221M|   0     0 | 104k  146k
 40  37  14   2   0   8|2483k  856M:  17k 1080M:   0   218M:   0   275M:2500k 2430M| 608M  608M:  31k   62k:1260M 1272M:1260M 1272M|   0     0 | 111k  153k
 40  36  15   1   0   8|2458k   30k:   0    44M:   0   762M:   0   912M:2458k 1719M| 649M  649M:  35k   57k:1327M 1247M:1327M 1247M|   0     0 | 118k  160k
 37  32  24   0   0   7|1638k  284M:3277B  206M:   0   464M:   0   232M:1642k 1186M| 620M  620M:  29k   62k:1167M 1225M:1167M 1225M|   0     0 | 111k  150k
 38  36  17   1   0   8|   0  1285M:2924k  325M:   0    52M:   0   549M:2924k 2211M| 624M  624M:  47k   57k:1207M 1244M:1207M 1244M|   0     0 | 104k  153k
 36  37  17   2   0   9|   0    57M:2498k 1121M:   0  1135M:   0   767M:2498k 3080M| 546M  546M:  32k   58k:1191M 1141M:1191M 1141M|   0     0 |  97k  149k
 42  37  13   0   0   8|   0   155M:2074k  102M:   0   103M:   0    77M:2074k  437M| 680M  680M:  31k   58k:1487M 1460M:1487M 1460M|   0     0 | 107k  182k
 38  35  18   1   0   8|   0  1404M:2459k  119M:   0   220M:   0   129M:2459k 1872M| 587M  587M:  48k   62k:1156M 1082M:1156M 1082M|   0     0 |  89k  148k
 36  38  14   2   0  10|   0    49M:2503k 1146M:   0  1225M: 819B  927M:2504k 3347M| 553M  553M:  28k   57k:1160M 1188M:1160M 1188M|   0     0 | 101k  156k
 39  35  17   1   0   8|   0   466M:2078k  180M:   0    25M:   0   441M:2078k 1112M| 634M  634M:  23k   62k:1207M 1333M:1207M 1333M|   0     0 | 101k  164k
 38  37  17   0   0   7|   0   148M:2464k  309M:   0   361M:   0   232M:2561k 1050M| 638M  638M:  21k   57k:1253M 1316M:1253M 1317M|   0     0 | 113k  158k
 35  35  22   1   0   7|   0    77M:2486k   52M:   0  1189M:   0   585M:2510k 1903M| 597M  597M:  39k   62k:1047M 1167M:1047M 1167M|   0     0 | 102k  142k
 39  41  10   1   0   9|   0   979M:2094k 1149M:   0   178M:1638B  680M:2096k 2986M| 671M  671M:  33k   57k:1195M 1346M:1196M 1346M|   0     0 | 112k  156k
 38  34  21   0   0   7|   0    46k:2462k  193M:   0    11k:   0    77M:2462k  270M| 687M  687M:  30k   59k:1181M 1374M:1181M 1374M|   0     0 | 117k  162k
 33  34  25   0   0   7|   0   129M:2462k  155M: 819B  387M:1638B 1145M:2464k 1815M| 587M  587M:  33k   57k:1075M 1197M:1075M 1197M|   0     0 | 116k  150k
 34  35  21   2   0   8|   0   842M:9011B  534M:2506k  555M: 819B  352M:2515k 2282M| 609M  609M:  28k   62k:1016M 1146M:1016M 1147M|   0     0 | 104k  146k
 37  37  17   1   0   8|   0   500M:  12k  783M:2462k  581M:   0    14k:2474k 1864M| 687M  687M:  46k   57k:1168M 1235M:1168M 1235M|   0     0 | 119k  163k
 34  33  27   0   0   7|   0    77M: 819B   51M:2262k  155M:1638B  872M:2264k 1156M| 635M  635M:  31k   62k:1034M 1157M:1034M 1157M|   0     0 | 107k  148k
 38  37  16   1   0   9|   0   720M:4915B  464M:2485k  413M:1638B  753M:2491k 2351M| 648M  648M:  31k   57k:1144M 1250M:1144M 1251M|   0     0 | 104k  154k
 35  36  21   1   0   8|   0   725M:4915B  440M:2484k  421M:   0    24k:2489k 1586M| 646M  646M:  50k   62k:1136M 1322M:1136M 1322M|   0     0 | 115k  160k
 37  36  18   1   0   8|   0    16k:9011B  592M:2074k  573M:   0   155M:2083k 1320M| 704M  704M:  30k   57k:1198M 1373M:1198M 1373M|   0     0 | 127k  172k
 32  32  29   1   0   7|   0  1152M:1638B  155M:2484k  168M: 819B  129M:2486k 1603M| 561M  561M:  21k   59k: 975M 1047M: 975M 1047M|   0     0 | 113k  142k
 31  35  23   3   0   8|   0   409M:6554B  569M:2458k  882M:1638B  595M:2466k 2455M| 595M  595M:  20k   57k:1041M 1175M:1041M 1175M|   0     0 | 115k  145k
 37  38  15   1   0   9|   0    20k:  11k  798M:2483k  408M: 819B  618M:2495k 1825M| 690M  690M:  38k   62k:1230M 1359M:1230M 1359M|   0     0 | 126k  165k
 36  35  22   0   0   7|   0   335M:1638B  155M:2483k  206M:   0   284M:2485k  980M| 662M  662M:  32k   57k:1194M 1265M:1194M 1265M|   0     0 | 109k  157k
