You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|2027k 4248k:2017k 4247k:2034k 4257k:2045k 4261k:8124k   17M|   0     0 :   0     0 :   0     0 :   0     0 |  31B  161B|1758  2401 
  0   0 100   0   0   0|   0     0 :   0     0 :2483k    0 :   0     0 :2483k    0 |   0     0 :  37B 1169B: 183B  670B: 616B 1839B|   0     0 | 218   388 
  0   0 100   0   0   0|   0     0 :   0     0 :2048k    0 :   0     0 :2048k   10k|   0     0 : 193B  766B:5585B 9300B:6568B   10k|   0     0 | 583   693 
  1   0  99   0   0   0|   0    15k:   0    17k:2483k   17k:   0    16k:2483k   75k| 801B  801B: 119B 1020B: 315k 3082B: 316k 4103B|   0     0 | 739   750 
  9   0  91   0   0   0|   0    26k:   0    26k:2483k   18k:   0    27k:2483k  116k|  18k   18k: 301B  766B: 295k  296k: 295k  297k|   0     0 |1292   873 
 25   3  71   0   0   1|  25M    0 :  55M    0 :  53M    0 :  25M   22k: 158M   22k|4086B 4086B:  61B  959B: 168M  159M: 168M  159M|   0     0 |  34k 6197 
 43  14  32   5   0   6| 308M   38k: 281M   27k: 385M   41k: 293M   30k:1267M  147k|5048B 5048B:  25B  766B: 482M  850M: 482M  850M|   0     0 |  71k   40k
 48  21  18   7   0   7| 502M   34k: 464M   34k: 339M   30k: 329M   30k:1635M  142k|5978B 5978B:  44B 1348B: 691M  767M: 691M  767M|   0     0 |  66k   52k
 45  36   6   6   0   7| 470M   32k: 452M   34k: 516M   32k: 415M   32k:1853M  167k|  20k   20k:  37B  766B: 659M  649M: 659M  649M|   0     0 |  73k   43k
 45  44   2   4   0   6| 404M   48k: 486M   40k: 363M   42k: 562M   46k:1816M  218k|9089B 9089B:  49B  967B: 475M  719M: 475M  719M|   0     0 |  70k   30k
 51  32   4   8   0   5| 584M  422k: 387M  148k: 379M  155k: 396M  519k:1746M 1268k|  10k   10k:  49B  766B: 400M  490M: 400M  490M|   0     0 |  79k   32k
 34  18  22  21   0   6| 424M   84k: 492M   42k: 429M   46k: 696M   30k:2041M  242k|  15k   15k: 325B 1020B: 430M  720M: 430M  720M|   0     0 |  94k   42k
 22  23  25  24   0   7| 413M   67k: 574M   24k: 486M   78k: 507M   21k:1980M  242k|9451B 9451B:  25B  766B: 629M  889M: 629M  889M|   0     0 |  74k   59k
 20  19  29  25   0   6| 589M   49k: 408M   92k: 444M   17k: 513M   37k:1954M  250k|  11k   11k:  25B  959B: 581M  792M: 581M  792M|   0     0 |  82k   59k
 19  26  24  24   0   7| 531M   70k: 465M   37k: 432M   40k: 522M   48k:1949M  262k|7885B 7885B:  37B  766B: 966M  927M: 966M  927M|   0     0 |  73k   58k
 21  21  26  25   0   6| 450M   57k: 572M   14k: 496M   45k: 490M   58k:2009M  257k|9262B 9262B:  49B 1348B: 864M 1022M: 864M 1022M|   0     0 |  78k   59k
