You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1298k 3529k:1301k 3542k:1298k 3532k:1308k 3541k:5207k   14M|   0     0 :   0     0 :   0     0 :   0     0 |  55B  207B|1762  2219 
  0   0 100   0   0   0|2509k    0 :   0     0 :   0     0 :   0     0 :2509k 7373B|   0     0 :  39k 5842B: 181B  669B:  40k 6511B|   0     0 | 312   392 
  0   2  97   0   0   0|2458k    0 :   0   290k:   0     0 :   0     0 :2458k  299k|   0     0 :  40k  918B: 306k  306k: 347k  307k|   0     0 | 867   777 
  0  25  74   0   0   0|2483k  138k:   0   136k:   0   120k:   0   123k:2483k  522k|   0     0 :  27k 1397B: 136B  490B:  27k 1887B|   0     0 |1576   587 
  0   9  90   1   0   0|2483k  158k:   0   165k:   0   156k:   0   161k:2483k  645k|   0     0 :  42k  781B:4555B  680B:  47k 1461B|   0     0 | 864   465 
  0  26  73   0   0   0|2483k  142k:   0   160k:   0   151k:   0   158k:2483k  616k|   0     0 :  32k 4984B:2262B  680B:  39k 5664B|   0     0 |1742   590 
  0  25  75   0   0   0|2458k  189k:   0   217k:   0   196k:   0   203k:2458k  807k|   0     0 :  41k  790B: 152B  490B:  47k 1280B|   0     0 |1650   553 
  0   0  99   0   0   0|2483k   66k:   0    47k:   0    56k:   0    58k:2483k  520k|   0     0 :  39k 5524B: 160B  669B:  40k 6193B|   0     0 | 351   401 
  0   0 100   0   0   0|2483k 1638B:   0  1638B:   0  1638B:   0  1638B:2483k 9011B|   0     0 :  37k  781B: 133B  669B:  39k 1450B|   0     0 | 452   392 
  0   0 100   0   0   0|2458k   15k:   0    17k:   0    18k:   0    16k:2458k   70k|   0     0 :  37k 4984B: 114B  490B:  40k 5474B|   0     0 | 347   396 
  1   0  99   0   0   0|2048k  614k:  85k  634k:   0   598k:   0   618k:2135k 2464k| 491B  491B:  18k  781B:  17k 1757B:  36k 2538B|   0     0 | 700   593 
 45   6  49   0   0   0|   0    42k:   0    43k:   0    41k:2744k   43k:2750k  182k| 238M  238M:  28k 5056B:6837B 6220B:  35k   11k|6554B    0 |  25k   42k
 75  16   7   0   0   2|   0    38k:   0    47k:   0    38k:2509k   43k:2509k  173k|1018M 1018M:  22k  781B:  10k   15k:  33k   16k|   0     0 |  53k  124k
 78  19   1   0   0   2|   0    44k:   0    43k:   0    31k:2074k   44k:2074k  176k|1199M 1199M:  38k 4984B:  10k   18k:  48k   23k|   0     0 |  30k  135k
 79  19   0   0   0   2|   0    42k:   0    42k:   0    34k:2458k   42k:2458k  171k|1255M 1255M:  47k  781B:  11k   20k:  58k   20k|   0     0 |  16k  139k
 78  20   0   0   0   2|   0    43k:   0    36k:   0    42k:2074k   38k:2074k  171k|1185M 1185M:  25k 5524B:  10k   19k:  35k   25k|   0     0 |  10k  134k
 75  22   0   0   0   3|   0   387M:   0    26M:   0   627M:2483k  619M:2483k 1660M|1107M 1107M:  43k  790B:  10k   20k:  53k   20k|   0     0 |  13k  126k
 73  23   0   0   0   4|   0   741M:4096B  484M:   0   715M:2483k  723M:2487k 2662M|1132M 1132M:  34k 4984B:9500B   22k:  43k   27k|   0     0 |  13k  129k
 74  23   0   0   0   3|   0   214M:  11k  832M:   0    26k:2048k   15k:2059k 1046M|1222M 1222M:  29k  918B:9312B   22k:  38k   23k|   0     0 |  12k  140k
 73  24   0   0   0   3|   0  9830B:   0    22k:   0    12k:2483k   10k:2483k   57k|1577M 1577M:  41k 1397B:  10k   28k:  52k   29k|   0     0 |  10k  175k
 70  27   0   0   0   3|   0   471M:2458B  180M:   0   174M:2483k  248M:2486k 1074M|1657M 1657M:  33k  781B:8266B   28k:  42k   29k|   0     0 |  12k  180k
 64  31   0   0   0   5| 819B  831M:3277B  192M: 819B  821M:2048k 1055M:2053k 2899M|1655M 1655M:  27k 4993B:7797B   26k:  34k   31k|   0     0 |  17k  178k
 65  31   0   0   0   4|   0    92M:  15k  838M: 819B  398M:2458k   90M:2474k 1419M|1950M 1950M:  23k  843B:9542B   31k:  33k   32k|   0     0 |  15k  206k
 63  32   0   0   0   4| 819B  297M:1670k  361M:   0   309M: 819k  361M:2490k 1329M|1999M 1999M:  38k 1874B:9867B   31k:  48k   33k|   0     0 |  14k  211k
 62  33   0   0   0   5|6554B 1053M:2075k   79M:   0  4216k:   0   919M:2082k 2055M|1940M 1940M:  13k  781B:9086B   29k:  22k   30k|   0     0 |  19k  206k
 62  33   0   0   0   5|   0    18M:2497k  850M: 819B 1106M:   0    87M:2498k 2061M|2001M 2001M:  38k 5000B:9772B   32k:  48k   36k|   0     0 |  17k  213k
 62  33   0   0   0   5|1638B  413M:2493k  609M: 819B  377M:   0   403M:2495k 1802M|2037M 2037M:  42k  800B:9818B   31k:  52k   32k|   0     0 |  14k  217k
 62  33   0   0   0   5|2458B  981M:2078k  140M:   0    87M:   0   984M:2080k 2192M|1997M 1997M:  30k 5047B:9416B   30k:  40k   35k|   0     0 |  16k  213k
 62  33   0   0   0   5|   0   129M:2470k  804M: 819B  877M:   0    32M:2470k 1843M|2032M 2032M:  42k  781B:9484B   30k:  52k   31k|   0     0 |  15k  215k
 60  34   0   0   0   5|1638B  774M:2486k  176M:3277B  955M:   0   464M:2491k 2370M|1998M 1998M:  32k 4984B:9813B   32k:  42k   37k|   0     0 |  15k  211k
 63  33   0   0   0   4|   0    26M:2492k  784M: 819B  361M:   0   524M:2493k 1695M|2018M 2018M:  30k  781B:9464B   30k:  39k   31k|   0     0 |  14k  214k
 61  34   0   0   0   5| 819B  619M:2082k  661M: 819B  390M:   0   379M:2083k 2050M|2037M 2037M:  40k 1884B:  10k   32k:  51k   34k|   0     0 |  19k  216k
 61  34   0   0   0   5|   0   568M:2462k  284M:   0   461M:   0   645M:2462k 1958M|2023M 2023M:  34k  781B:9509B   31k:  44k   31k|   0     0 |  13k  211k
 60  34   0   0   0   5|   0    77M:2471k  878M:3277B  903M:   0   671M:2474k 2529M|2021M 2021M:  33k 4984B:9661B   31k:  44k   36k|   0     0 |  17k  214k
 62  34   0   0   0   5| 380k  942M:1233k  272M: 819B   77M: 380k  248M:1994k 1540M|2085M 2085M:  20k  937B:9848B   32k:  30k   33k|   0     0 |  13k  219k
 61  34   0   0   0   5|2919k  348M:  14k  785M: 819B  579M: 819B  758M:2934k 2471M|2022M 2022M:  40k 1406B:9569B   30k:  49k   32k|   0     0 |  16k  213k
 61  35   0   0   0   4|2485k  433M:9830B  401M: 819B  376M:   0   402M:2495k 1612M|2034M 2034M:  33k  790B:  10k   32k:  43k   33k|   0     0 |  15k  216k
 59  37   0   0   0   4|2486k  754M:7373B  421M:   0   476M: 819B  377M:2539k 2028M|1974M 1974M:  31k 4984B:9246B   30k:  40k   35k|   0     0 |  49k  209k
