You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1643k 4244k:1646k 4257k:1649k 4248k:1654k 4256k:6591k   17M|   0     0 :   0     0 :   0     0 :   0     0 |  57B  201B|1955  2475 
  0   0 100   0   0   0|   0     0 :2483k    0 :   0    10k:   0  5734B:2486k   22k|  31k   31k:  34k 1461B: 728B   32k:  35k   33k|   0     0 | 456   451 
  0   0 100   0   0   0|   0    36k:2483k   36k:   0    44k:   0    32k:2483k  175k|   0     0 :  33k 2126B:  26k   14k:  59k   16k|   0     0 | 825   803 
  7   1  92   0   0   0|   0    30k:2458k   28k:   0    36k:   0    37k:2603k  143k| 942B  942B:  51k   52B: 587k  296k: 639k  296k|   0     0 |1812  1059 
 11   1  88   0   0   0|   0     0 :2483k    0 :   0    13k:   0    13k:2483k   43k|  20k   20k:  29k 5712B:4230B   53k:  34k   59k|   0     0 |2697  1675 
 39   8  44   4   0   4|  47M   90k:  34M   26k:  39M   41k:  41M   25k: 161M  202k|4435B 4435B:  22k   52B: 475M  502M: 475M  502M|   0     0 |  66k   21k
 40  10  40   5   0   5|  21M   40k:  31M   29k:  30M   48k:  42M   29k: 125M  156k|5538B 5538B:  27k 5776B: 691M  485M: 691M  485M|   0     0 |  73k   43k
 31   3  65   0   0   1|  14M   33k:2458k  113k:   0    41k:  17M   26k:  33M  226k|6583B 6583B:  38k   62B: 144M   63M: 144M   63M|   0     0 |  38k 7642 
 29   2  69   0   0   0|   0    45k:2510k   50k:   0    34k:   0    31k:2510k  177k|6578B 6578B:  21k 5712B:  12k   13k:  33k   19k|   0     0 |5576  3094 
 52  15  17  11   0   6|  61M   49k: 107M   70k:  76M  145k: 109M  114k: 353M  419k|  21k   21k:  34k  388B: 788M  649M: 788M  649M|   0     0 |  63k   41k
 52  14  10  18   0   6| 121M   39k: 127M   40k:  92M  343k: 146M  425k: 487M  870k|  10k   10k:  43k 2126B:1034M  776M:1034M  776M|   0     0 |  68k   46k
 25  13  19  38   0   6| 109M   33k: 101M   34k: 150M   41k: 134M   50k: 494M  219k|8630B 8630B:  29k   52B:1156M  890M:1156M  890M|   0     0 |  67k   52k
 23  13  25  33   0   7| 141M  165k: 129M   26k: 175M   33k: 147M   39k: 592M  323k|9211B 9211B:  44k 5712B:1195M  882M:1195M  882M|   0     0 |  73k   56k
 17  12  25  39   0   6| 144M   41k: 140M   42k: 130M   84k: 155M   12k: 569M  230k|8653B 8653B:  30k   62B:1104M  782M:1104M  782M|   0     0 |  83k   64k
 16  14  22  41   0   6| 166M   53k: 141M  117k:  54M   87k: 149M   17k: 509M  328k|9362B 9362B:  31k 2262B:1215M  762M:1216M  762M|   0     0 |  77k   65k
 26  15  22  31   0   6| 125M   58k: 177M  109k: 139M   42k: 113M 9011B: 554M  279k|7812B 7812B:  50k   52B:1093M  825M:1093M  825M|   0     0 |  75k   71k
 18  15  27  34   0   6| 195M   22k: 159M  101k: 189M  101k:  42M   63k: 584M  369k|9016B 9016B:  28k 5712B:1261M  815M:1261M  815M|   0     0 |  72k   66k
 22  15  23  33   0   6| 191M 9830B: 133M   74k: 197M   17k: 155M  142k: 678M  284k|9204B 9204B:  21k  388B:1060M  937M:1060M  937M|   0     0 |  78k   69k
 10  14  26  44   0   7| 146M    0 : 153M 4915B: 214M 6554B: 181M 2458B: 695M   64k|8852B 8852B:  26k 2898B:1075M 1011M:1075M 1011M|   0     0 |  78k   74k
 12  14  28  40   0   6| 165M   19k: 103M    0 : 224M    0 : 112M 2458B: 604M   58k|9197B 9197B:  40k   71B:1048M  935M:1048M  935M|   0     0 |  78k   70k
 13  18  25  38   0   6| 116M    0 : 155M    0 : 164M    0 : 142M 2458B: 576M   25k|9208B 9208B:  25k 5712B:1042M  866M:1042M  866M|   0     0 |  72k   68k
 10  13  36  35   0   7| 163M    0 : 184M   19k: 174M    0 : 132M 2458B: 652M   52k|9071B 9071B:  31k   52B:1118M  993M:1118M  993M|   0     0 |  76k   73k
  9  13  32  39   0   6| 156M    0 : 131M    0 : 149M    0 : 160M 2458B: 595M   29k|9199B 9199B:  42k 5776B:1036M 1129M:1036M 1129M|   0     0 |  73k   73k
  8  13  32  40   0   6| 130M    0 :  91M    0 : 172M   14k: 217M   12k: 610M   86k|9199B 9199B:  31k   52B: 925M 1053M: 925M 1053M|   0     0 |  81k   74k
  9  13  30  41   0   6|  91M    0 :  77M    0 : 129M    0 : 122M  107k: 419M  126k|8846B 8846B:  44k 5712B:1067M 1030M:1067M 1030M|   0     0 |  74k   75k
  8  13  34  38   0   6|  72M    0 : 114M    0 : 126M    0 : 143M 2458B: 455M   58k|9284B 9284B:  32k  398B:1217M 1022M:1217M 1022M|   0     0 |  79k   70k
  9  12  39  34   0   6|  78M    0 :  82M    0 :  69M    0 : 165M 2458B: 394M   35k|9202B 9202B:  31k 2126B:1164M 1002M:1164M 1002M|   0     0 |  71k   70k
 10  16  27  40   0   6|  84M    0 :  65M    0 : 100M    0 : 140M 2458B: 389M   24k|  15k   15k:  50k   52B:1256M 1000M:1256M 1000M|   0     0 |  68k   71k
  9  14  26  45   0   6| 153M    0 :  91M 4096B: 168M    0 : 126M 2458B: 538M   25k|9557B 9557B:  29k 5712B:1112M 1147M:1112M 1147M|   0     0 |  69k   68k
 10  13  26  46   0   6| 152M    0 :  69M    0 : 177M    0 : 157M 2458B: 556M   29k|8496B 8496B:  23k   52B:1252M 1056M:1252M 1056M|   0     0 |  71k   75k
 10  12  31  40   0   6| 146M    0 :  88M    0 : 162M    0 : 170M   94k: 565M  148k|  10k   10k:  25k 2262B:1066M  928M:1066M  928M|   0     0 |  75k   73k
  9  12  30  42   0   6| 133M    0 : 126M 3277B: 196M    0 : 161M 4096B: 617M   25k|9382B 9382B:  41k   62B:1023M 1083M:1023M 1083M|   0     0 |  77k   71k
 10  13  30  42   0   6| 171M    0 : 161M    0 : 157M    0 : 168M 2458B: 657M   62k|8497B 8497B:  19k 5712B:1081M 1119M:1081M 1119M|   0     0 |  72k   68k
 10  13  30  41   0   7| 177M    0 : 159M   11k: 181M    0 : 145M 2458B: 662M   43k|  11k   11k:  35k 1016B:1142M 1165M:1142M 1165M|   0     0 |  81k   75k
  9  14  29  41   0   7| 199M    0 : 194M   11k: 204M    0 : 108M   13k: 705M   50k|  13k   13k:  48k 2135B:1188M 1231M:1188M 1231M|   0     0 |  73k   74k
  9  14  29  42   0   6| 178M   12k: 153M 7373B: 191M   21k: 142M 2458B: 664M   63k|  11k   11k:  38k   52B:1148M 1042M:1148M 1042M|   0     0 |  70k   69k
  8  14  28  44   0   6| 147M    0 : 150M 3277B: 183M    0 : 188M 2458B: 669M   33k|  10k   10k:  44k 5712B:1082M 1043M:1082M 1043M|   0     0 |  63k   71k
  9  13  31  41   0   6| 129M    0 : 159M    0 : 171M    0 : 171M  109k: 630M  166k|9030B 9030B:  31k   62B:1080M  950M:1080M  950M|   0     0 |  68k   72k
