You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1555k 4156k:1560k 4158k:1551k 4147k:1570k 4163k:6236k   16M|   0     0 :   0     0 :   0     0 :   0     0 |  55B  195B|1905  2382 
  0   0 100   0   0   0|   0     0 :   0     0 :2893k    0 :   0     0 :2893k 6554B|   0     0 :  29k 8211B: 135B  670B:  29k 8881B|   0     0 | 325   389 
  0   0  99   0   0   0|   0     0 :   0     0 :2868k    0 :   0     0 :2868k  819B|   0     0 :  42k   11k:  37k   53k:  78k   64k|   0     0 |1879  1761 
  0   0 100   0   0   0|   0    42k:   0    20k:3302k   26k:   0    34k:3302k  128k|   0     0 :  32k 7353B: 316k  313k: 348k  320k|   0     0 | 497   575 
  0   0 100   0   0   0|   0     0 :   0     0 :2893k    0 :   0     0 :2893k 3277B|   0     0 :  32k   11k:  18k   19k:  50k   30k|   0     0 | 353   416 
 23   2  74   1   0   0|  77M    0 :  95M    0 :  24M   30k:   0    42k: 196M   78k| 633B  633B:  48k 7348B:  10k 2864B:  59k   10k|   0     0 |6740  2356 
 39   9  41  10   0   1| 390M   47k: 480M   41k: 349M   27k: 333M   36k:1552M  163k|   0     0 :  31k   11k:  36k   18k:  69k   29k|   0     0 |  23k 9029 
 41  12  30  17   0   1| 462M   42k: 527M   35k: 487M   30k: 594M   37k:2069M  162k|  31B   31B:  26k   14k:  30k 6069B:  56k   20k|   0     0 |  30k   13k
 41  13  23  22   0   1| 444M   27k: 613M   28k: 495M   41k: 702M   34k:2254M  140k|   0     0 :  19k   27k:  32k 7576B:  51k   34k|   0     0 |  36k   15k
 44  15  12  27   0   1| 689M   86k: 577M   95k: 678M  386k: 664M  105k:2609M  738k|   0     0 :  38k   29k:  32k 9337B:  70k   38k|   0     0 |  41k   21k
