You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1963k 4187k:1949k 4186k:1971k 4197k:1982k 4201k:7865k   16M|   0     0 :   0     0 :   0     0 :   0     0 |  31B  161B|1753  2373 
  0   0 100   0   0   0|   0    39k: 819B   36k:2870k   88k: 102k   65k:3017k  238k| 583k  583k:  37B  843B: 115k  633k: 115k  634k|   0     0 | 625   685 
  4   1  95   0   0   0| 819B    0 : 819B   18k:2894k    0 : 819B    0 :3226k   79k| 942B  942B:  73B 1287B: 355k  370k: 355k  371k|   0     0 |2804  2327 
  7   0  92   0   0   0|   0   113k:   0    47k:2893k   50k:   0    41k:3421k  287k|  19k   19k: 229B  828B:3094B   23k:3491B   24k|   0     0 |1533  1357 
 32   3  62   3   0   0| 206M   38k:   0    27k: 106M   23k: 170M   22k: 482M  124k|4351B 4351B:  49B  959B:  17k   12k:  17k   13k|   0     0 |9293  3547 
 39   8  39  13   0   1| 413M   33k: 284M    0 : 424M   33k: 531M   26k:1652M  114k|  18k   18k:  49B  766B:  28k   26k:  28k   27k|   0     0 |  26k   10k
 41  11  27  20   0   1| 411M   34k: 492M  210k: 619M   58k: 557M   26k:2079M  335k|6775B 6775B:  49B  959B:  38k   14k:  38k   15k|   0     0 |  32k   15k
 42  11  23  23   0   1| 583M   30k: 546M   62k: 374M  618k: 693M   73k:2196M  797k|8011B 8011B:  37B  828B:  42k   15k:  43k   16k|   0     0 |  31k   16k
 45  12  16  26   0   1| 649M   97k: 663M   86k: 647M  518k: 551M  374k:2510M 1091k|9779B 9779B:  37B  959B:  43k   16k:  45k   17k|   0     0 |  38k   19k
 41  10  25  23   0   1| 690M   77k: 350M  144k: 653M  161k: 335M  162k:2029M  595k|  10k   10k: 217B  766B:  22k   16k:  22k   16k|   0     0 |  33k   15k
 13   3  81   3   0   0| 169M   32k:  65M   42k: 137M  106k:  52M   32k: 423M  268k|6485B 6485B: 109B 1425B:  20k 9022B:  20k   10k|   0     0 |8686  4507 
  1   0  98   0   0   0|   0   182k:   0    49k:2893k   73k:   0    16k:2893k  368k|4969B 4969B:  61B  836B:  13k 5799B:  13k 6635B|   0     0 |1443  2248 
