You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1409k 3312k:1438k 3322k:1426k 3305k:1403k 3314k:5678k   13M|   0     0 :   0     0 :   0     0 :   0     0 |  31B  192B|1724  2103 
  0   0 100   0   0   0|   0     0 :   0     0 :2483k    0 :   0     0 :2483k 9011B|   0     0 :  40k 6571B: 133B  669B:  41k 7239B|   0     0 | 321   389 
  0   0 100   0   0   0|   0     0 :   0   290k:2458k    0 :   0     0 :2458k  297k|   0     0 :  38k   52B: 304k  305k: 343k  305k|   0     0 | 942   904 
  0   0 100   0   0   0|   0    14k:   0    14k:2483k   14k:   0    12k:2483k   58k|   0     0 :  23k 2462B: 414B 2780B:  23k 5242B|   0     0 | 295   395 
  8  22  70   0   0   0|   0     0 :  85k    0 :2458k    0 :   0     0 :2941k 4096B| 632B  632B:  19k   52B:  22k 2102B:  41k 2155B|   0     0 |3069  1233 
 54  32  13   0   0   1|   0   253k: 845k  259k:1229k  274k:   0   247k:2076k 1049k| 369M  369M:  32k 6276B:  15k 8143B:  47k   14k|   0     0 |  25k   52k
 62  35   1   0   0   1|   0   199k:2483k  184k:   0   183k:   0   178k:2483k  754k| 779M  779M:  25k  331B:9147B   13k:  35k   13k|   0     0 |  21k   90k
 68  31   0   0   0   1|   0   194k:2074k  229k:   0   213k:   0   203k:2074k 1164k| 888M  888M:  38k 2126B:9261B   15k:  47k   17k|   0     0 |  15k  104k
 75  24   0   0   0   1|   0   158k:2483k  162k:   0   163k:   0   156k:2483k  658k|1034M 1034M:  42k   52B:  10k   18k:  52k   18k|   0     0 |  12k  116k
 80  19   0   0   0   2|   0    83k:2048k   98k:   0   102k:   0   103k:2054k  398k|1107M 1107M:  30k 5712B:  11k   19k:  42k   25k|   0     0 |  12k  125k
 79  19   0   0   0   2|   0   104M:2074k   32M:   0    26M:   0   730k:2074k  163M|1111M 1111M:  52k   62B:  10k   20k:  71k   20k|   0     0 |  11k  125k
 74  23   0   0   0   3|   0   631M:2488k  436M: 819B   26M:9011B  602M:2498k 1694M|1168M 1168M:  31k 6253B:9234B   22k:  41k   28k|   0     0 |  11k  130k
 69  27   0   0   0   4|   0   608M:2057k  634M:9830B  594M:8192B  568M:2074k 2403M|1279M 1279M:  29k   52B:9809B   24k:  39k   24k|   0     0 |  13k  140k
 69  27   0   0   0   3|   0    46k:2486k  268M:9011B  650M:4096B  224M:2498k 1142M|1551M 1551M:  41k 5712B:8942B   27k:  51k   32k|   0     0 |  12k  170k
 69  27   0   0   0   3|   0   163M:2075k   80M:2458B  111M:2458B  103M:2080k  457M|1711M 1711M:  40k   52B:8331B   28k:  51k   28k|   0     0 |  13k  183k
 64  31   0   0   0   4| 819B  327M:2468k  645M:4915B  322M:5734B  505M:2479k 1800M|1777M 1777M:  24k 5776B:8300B   28k:  33k   33k|   0     0 |  17k  187k
 61  34   0   0   0   5|   0   901M:2060k  694M:  12k  748M:  13k  708M:2085k 3052M|1894M 1894M:  18k   52B:9570B   30k:  28k   30k|   0     0 |  19k  199k
 64  32   0   0   0   4|   0   157M:2485k  103M:6554B  365M:4096B  185M:2495k  810M|1989M 1989M:  29k 6321B:9307B   30k:  38k   37k|   0     0 |  17k  210k
 62  33   1   0   0   4|   0   560M:2080k  465M:5734B  358M:7373B  582M:2093k 1964M|1954M 1954M:  23k   71B:9486B   30k:  32k   30k|   0     0 |  18k  208k
 61  34   1   0   0   5|   0   679M:2496k  774M:3277B  255M:7373B  626M:2506k 2334M|1989M 1989M:  38k 6272B:9386B   30k:  47k   37k|   0     0 |  22k  212k
 62  33   1   0   0   5|   0   258M:2076k  180M:9830B  950M:4096B  271M:2090k 1659M|1964M 1964M:  42k   52B:9494B   31k:  51k   31k|   0     0 |  17k  208k
 59  35   1   0   0   5|   0   583M:2489k  615M:  12k 1006M:6554B  463M:2507k 2667M|1964M 1964M:  27k 5712B:8732B   28k:  36k   34k|   0     0 |  19k  209k
 62  32   1   0   0   5|   0   424M:2053k  469M:2458B  189M:4096B  530M:2059k 1612M|2002M 2002M:  42k  189B:9971B   32k:  52k   32k|   0     0 |  17k  213k
 62  33   1   0   0   4|   0   542M:2487k  463M:2458B  206M:5734B  464M:2495k 1675M|2050M 2050M:  30k 2126B:9814B   31k:  40k   33k|   0     0 |  17k  216k
 59  35   0   0   0   5|   0   877M:2484k  131M:8192B  932M:  14k  937M:2506k 2878M|1914M 1914M:  30k   52B:9181B   30k:  39k   30k|   0     0 |  18k  205k
 64  32   0   0   0   4|   0    59M:2056k  876M:   0   126M: 819B   45M:2057k 1106M|2094M 2094M:  40k 5731B:9962B   32k:  50k   38k|   0     0 |  16k  221k
 61  34   1   0   0   5|   0   482M:2490k  828M:   0   464M:  11k  479M:2501k 2253M|2037M 2037M:  38k  114B:9566B   31k:  48k   31k|   0     0 |  18k  213k
 61  34   1   0   0   5| 819B  716M:2458k  593M:   0    32M:  12k  706M:2471k 2048M|2035M 2035M:  24k 2603B:9385B   30k:  33k   33k|   0     0 |  18k  213k
 61  33   1   0   0   5| 819B  327M:1638k  206M:   0   974M:4915B  315M:1644k 1823M|2032M 2032M:  19k   62B:  10k   32k:  29k   32k|   0     0 |  18k  215k
 61  34   0   0   0   5|   0   376M:   0   284M:2918k 1170M:8192B  434M:2926k 2264M|2000M 2000M:  29k 5729B:9437B   31k:  38k   36k|   0     0 |  17k  210k
 61  34   0   0   0   5|   0   826M:   0   774M:2074k   68M:  13k  800M:2086k 2469M|1993M 1993M:  22k   80B:9271B   30k:  31k   30k|   0     0 |  19k  212k
 60  35   0   0   0   5|   0   232M:   0   335M:2483k  749M:3277B  284M:2486k 1600M|2008M 2008M:  38k 5776B:  10k   32k:  48k   38k|   0     0 |  17k  211k
 59  36   0   0   0   4|   0   310M:   0   624M:2458k   51M:8192B  616M:2466k 1601M|1960M 1960M:  42k   52B:9052B   29k:  51k   29k|   0     0 |  17k  207k
 58  36   0   0   0   5| 819B  903M:   0   537M:2074k   77M:7373B  571M:2135k 2089M|1939M 1939M:  29k 5712B:9811B   32k:  39k   37k|   0     0 |  18k  203k
 59  35   0   0   0   5|   0   795M:   0    89M:2461k  903M:1638B   26M:2462k 1812M|1972M 1972M:  44k   52B:9836B   31k:  53k   31k|   0     0 |  20k  207k
 59  36   1   0   0   5|2458B  421M:   0   505M:2386k  341M:9011B  755M:2398k 2022M|2007M 2007M:  31k 2603B:9289B   30k:  40k   33k|   0     0 |  20k  212k
 58  36   1   0   0   5|   0   301M:   0   708M:   0   952M:2514k  458M:2514k 2419M|1898M 1898M:  30k   52B:9955B   32k:  40k   32k|   0     0 |  20k  203k
 59  36   0   0   0   4|   0   474M:   0   513M:   0    26M:2492k  497M:2492k 1509M|2096M 2096M:  40k 5722B:9833B   30k:  50k   36k|   0     0 |  18k  223k
 58  36   1   0   0   5|   0    51M:   0   744M:   0   568M:2050k 1106M:2050k 2469M|1895M 1895M:  39k  189B:9701B   31k:  50k   31k|   0     0 |  22k  201k
 59  36   1   0   0   5|1638B 1041M:   0   129M:   0   726M:2483k   77M:2485k 1973M|2008M 2008M:  26k 2126B:9418B   28k:  36k   30k|   0     0 |  28k  216k
 59  36   1   0   0   5|   0   172M:   0   568M:   0   180M:2483k  832M:2483k 1753M|2063M 2063M:  19k   52B:  11k   32k:  30k   32k|   0     0 |  27k  220k
 56  35   4   0   0   5|   0   574M:   0   649M: 819B  742M:2483k   26M:2484k 1990M|1931M 1931M:  28k 5712B:  11k   35k:  39k   41k|   0     0 |  64k  221k
 10   8  80   1   0   1|   0    87M:   0    77M: 819B  497M:2458k  787M:2458k 1449M| 322M  322M:  23k   52B:3269B   10k:  26k   10k|   0     0 |  30k   54k
  0   3  95   2   0   0|1638B  739M:   0   952M:   0    34k:2483k   65k:2485k 1691M|   0     0 :  38k 6253B:1111B 2178B:  40k 8431B|   0     0 |8686  1646 
  0   0  99   1   0   0|   0    17k:   0   197M:   0  4096B:2074k 4915B:2074k  197M|   0     0 :  42k   52B: 154B  680B:  43k  732B|   0     0 |1131   414 
  0   0 100   0   0   0|   0     0 :   0     0 :   0     0 :2458k    0 :2458k 2458B|   0     0 :  29k 5712B: 114B  490B:  29k 6202B|   0     0 | 389   408 
  0   0 100   0   0   0|   0     0 :   0     0 :   0     0 :2458k    0 :2458k    0 |   0     0 :  44k   62B: 179B  669B:  44k  730B|   0     0 | 331   406 
  0   1  98   0   0   0|2504k  103M:   0     0 : 819B  393M:   0   232M:2505k  729M|   0     0 :  34k 5776B: 155B  680B:  34k 6455B|   0     0 | 806   514 
