You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1409k 3379k:1438k 3389k:1426k 3373k:1403k 3382k:5676k   13M|   0     0 :   0     0 :   0     0 :   0     0 |  31B  192B|1726  2131 
  0   0 100   0   0   0|   0     0 :2074k    0 :   0     0 :   0     0 :2074k 2458B|   0     0 :  41k  911B: 133B  669B:  42k 1579B|   0     0 | 371   386 
  0   0 100   0   0   0|   0     0 :2483k    0 :   0     0 :   0     0 :2483k 6554B|   0     0 :  32k 5712B:9230B   12k:  41k   18k|   0     0 | 755   723 
  7  23  69   0   0   0|   0    65k:2458k   62k:  27k   61k:   0    69k:2887k  261k| 941B  941B:  19k   52B: 317k  296k: 336k  296k|   0     0 |2615  1210 
 12   8  79   1   0   0|   0   232k:2483k  230k:   0   238k:   0   245k:2485k  963k|  20k   20k:  20k 6253B:3379B 7993B:  23k   14k|   0     0 |3178  1794 
 54  20  25   0   0   1|   0    58k:2074k   58k:   0    30k:   0    56k:2075k  395k| 408M  408M:  38k   52B:  15k   17k:  53k   17k|   0     0 |  28k   57k
 64  33   1   0   0   1|   0   148k:2458k  156k:   0   155k:   0   161k:2464k  653k| 745M  745M:  42k 5712B:  16k   20k:  58k   26k|6554B    0 |  21k   86k
 68  31   0   0   0   1|   0   193k:2074k  181k:   0   187k:   0   202k:2074k  776k| 865M  865M:  26k   52B:  17k   22k:  43k   22k|   0     0 |  16k  100k
 73  25   0   0   0   2|   0   140k:2049k  146k:   0   165k:   0   141k:2123k  602k| 950M  950M:  31k 5776B:  20k   23k:  51k   29k|   0     0 |  13k  110k
 80  18   0   0   0   1|   0   355k:2048k   76k:   0    98k:   0    84k:2048k  644k|1091M 1091M:  36k  191B:  23k   26k:  59k   26k|   0     0 |  12k  125k
 80  18   0   0   0   2|   0  1002k:2509k 7313k:   0   827k:   0   749k:2509k 9914k|1084M 1084M:  36k 5722B:  26k   24k:  62k   30k|   0     0 |9791   122k
 74  23   0   0   0   3|   0    77M:2484k   97M:3277B  556M:   0   692M:2488k 1422M|1202M 1202M:  38k   52B:  27k   21k:  65k   21k|   0     0 |  11k  133k
 69  27   0   0   0   4|   0   602M:2048k  521M:6554B  750M:2458B  663M:2057k 2536M|1284M 1284M:  31k 6253B:  30k   22k:  60k   28k|   0     0 |  16k  145k
 69  27   1   0   0   3|   0   637M:2486k  718M:2458B   62M:   0    13M:2488k 1430M|1525M 1525M:  42k   52B:  29k   22k:  70k   22k|   0     0 |  14k  170k
 69  28   0   0   0   3|   0   103M:2074k  126M: 819B   77M:   0    77M:2074k  383M|1778M 1778M:  33k 5712B:  32k   25k:  65k   30k|   0     0 |  14k  187k
 64  31   0   0   0   4|   0   155M:2484k  158M:1638B  807M:3277B  911M:2489k 2031M|1824M 1824M:  20k  189B:  33k   25k:  52k   25k|   0     0 |  18k  192k
 61  33   1   0   0   5|   0   877M:2051k  704M: 819B  458M:1638B  379M:2054k 2419M|1856M 1856M:  21k 2126B:  31k   25k:  52k   27k|   0     0 |  23k  197k
 63  32   1   0   0   4|   0   387M:2485k  521M:   0   166M: 819B  129M:2486k 1203M|1999M 1999M:  39k  432B:  35k   27k:  74k   28k|   0     0 |  23k  212k
 61  33   1   0   0   5|   0   310M:2074k  297M:   0   809M:3277B  705M:2078k 2121M|1928M 1928M:  45k 5712B:  32k   26k:  77k   32k|   0     0 |  17k  203k
 62  33   1   0   0   5| 819B  544M:2458k  505M:   0   418M:   0   534M:2458k 2000M|1945M 1945M:  24k   52B:  32k   26k:  56k   26k|   0     0 |  20k  207k
 62  32   1   0   0   5|   0   867M:2051k  912M:   0    77M:   0  9830B:2051k 1857M|1959M 1959M:  29k 6253B:  33k   26k:  63k   32k|   0     0 |  23k  207k
 60  34   1   0   0   5|   0   886M:1234k  906M:1254k  391M:4096B  584M:2492k 2767M|1967M 1967M:  37k   52B:  33k   26k:  70k   26k|   0     0 |  26k  210k
 63  32   1   0   0   4|   0    24k:   0    25k:2078k  899M:   0   241M:2078k 1140M|2000M 2000M:  36k  781B:  34k   28k:  72k   29k|   0     0 |  19k  210k
 61  34   1   0   0   5|   0   419M:   0   309M:2483k  239M:3277B 1032M:2486k 2000M|1968M 1968M:  44k 4984B:  33k   26k:  85k   31k|   0     0 |  18k  207k
 60  34   1   0   0   5|1638B  819M:1638B  515M:2062k  744M:2458B  671M:2068k 2749M|1933M 1933M:  37k  781B:  32k   26k:  69k   27k|   0     0 |  21k  206k
 63  32   1   0   0   4|   0    15k: 819B  414M:2460k  256M: 819B  490M:2462k 1161M|2104M 2104M:  43k 5056B:  36k   28k:  79k   33k|   0     0 |  20k  219k
 61  33   1   0   0   5|1254k  600M:   0   645M:1071k  542M:   0   206M:2326k 1993M|1953M 1953M:  35k  781B:  32k   25k:  69k   25k|   0     0 |  20k  206k
 59  34   1   0   0   6|2483k 1026M:1638B  826M: 819B  929M:   0    26M:2486k 2807M|1937M 1937M:  22k 4984B:  34k   27k:  56k   32k|   0     0 |  22k  204k
 63  33   1   0   0   4|2074k   21M:   0   180M:   0    51M:5734B  903M:2079k 1157M|2061M 2061M:  21k  781B:  34k   27k:  55k   28k|   0     0 |  17k  216k
 60  34   1   0   0   5|2465k  185M:   0   284M: 819B  439M:2458B 1158M:2468k 2065M|2048M 2048M:  40k 1874B:  33k   27k:  73k   29k|   0     0 |  19k  214k
 60  34   1   0   0   5|2460k 1016M:   0   903M: 819B  878M:   0   261M:2461k 3058M|1925M 1925M:  43k  781B:  33k   25k:  77k   26k|   0     0 |  20k  204k
 61  34   1   0   0   4|  13k  326M:1638B  309M:   0   182M:2100k   77M:2114k  895M|2059M 2059M:  24k 5120B:  34k   28k:  58k   33k|   0     0 |  19k  216k
 59  35   1   0   0   5|   0   284M:1638B  335M: 819B  334M:2485k 1043M:2487k 1996M|1922M 1922M:  29k  781B:  33k   25k:  62k   26k|   0     0 |  21k  205k
 58  36   1   0   0   5|1638B  852M:1638B  749M:2458B  903M:2458k  195M:2490k 2699M|1888M 1888M:  36k 1406B:  34k   28k:  69k   29k|   0     0 |  22k  201k
 60  34   1   0   0   4|   0   155M:   0   235M: 819B  145M:2074k  748M:2102k 1284M|1988M 1988M:  37k  781B:  34k   27k:  71k   28k|   0     0 |  17k  209k
 60  35   0   0   0   5|   0   206M:1638B  409M:1638B  448M:2484k  740M:2487k 1804M|1967M 1967M:  39k 4984B:  34k   28k:  73k   32k|   0     0 |  19k  209k
 57  37   1   0   0   6|4096B  934M:3277B  907M:3277B  932M:2483k  112M:2494k 2885M|1916M 1916M:  31k  781B:  29k   25k:  60k   26k|   0     0 |  23k  206k
 61  35   1   0   0   4| 819B  253M:   0   232M:1638B  225M:2460k  519M:2462k 1230M|2047M 2047M:  41k 5586B:  33k   29k:  75k   34k|   0     0 |  20k  217k
 59  36   1   0   0   5|5734B  672M:1638B  584M: 819B  444M:2074k  180M:2082k 1879M|1984M 1984M:  32k  781B:  31k   27k:  64k   28k|   0     0 |  21k  213k
 59  35   1   0   0   5| 819B  339M:1638B  710M:4915B  879M:2483k   11M:2490k 1940M|2011M 2011M:  21k 4984B:  31k   30k:  52k   35k|   0     0 |  29k  217k
 58  35   1   0   0   5|2458B  647M: 819B  432M:4915B  365M:2461k  921M:2469k 2364M|1982M 1982M:  22k  781B:  30k   30k:  52k   30k|   0     0 |  48k  217k
 21  15  61   2   0   2| 819B  284M:   0   478M:  13k  519M:2458k  317M:2472k 1598M| 657M  657M:  38k 5072B:  26k   19k:  65k   24k|   0     0 |  49k   91k
  0   3  91   6   0   0|4915B  883M:   0    10k:2074k   28k: 412k  874M:2490k 1757M|  24k   24k:  41k  790B:  10k 5258B:  52k 6048B|   0     0 |8468  3724 
  0   0  99   0   0   0|   0    15k:   0  4915B:2099k 7373B:   0  2458B:2099k   40k|  31B   31B:  25k 4984B:2686B 5997B:  28k   11k|   0     0 | 564   701 
  0   0 100   0   0   0|   0     0 :   0  4915B:2458k 5734B:   0  4096B:2458k   43k|   0     0 :  29k  781B:2074B 1988B:  32k 2769B|   0     0 | 405   556 
  0   0  99   0   0   0|   0     0 :   0     0 :2483k 2458B:   0     0 :2483k   10k|   0     0 :  37k 1874B:2116B 2099B:  39k 3974B|   0     0 | 443   559 
  0   1  99   0   0   0|   0     0 : 819B  310M:2484k  290M:   0     0 :2485k  600M|   0     0 :  36k  781B:1908B 2207B:  38k 2988B|   0     0 |1354   917 
  0   2  95   2   0   0|  13k  245M:  18k  397M:2461k  329M:   0   290M:2492k 1261M| 196k  196k:  37k 5120B:4442B 6383B:  42k   11k|   0     0 |3398  2138 
