You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1299k 3431k:1302k 3445k:1299k 3434k:1308k 3444k:5209k   13M|   0     0 :   0     0 :   0     0 :   0     0 |  48B  207B|1759  2178 
  0   0  99   0   0   0|   0    67k:2484k   55M:   0    95k:   0  3340k:2524k   58M| 375B  375B:  42k 6195B: 941k  651k: 984k  657k|   0     0 | 979   786 
 10   9  81   0   0   0|   0    78k:2483k   88k:   0    79k: 819B  142k:2882k  408k|  19k   19k:  40k  781B: 314k  296k: 356k  297k|   0     0 |2362  1247 
 22  27  51   0   0   0|   0   190k:2048k  200k:   0   193k:   0   200k:2054k  786k|  28M   28M:  26k 4984B:  11k   10k:  37k   15k|4096B    0 |7641  7546 
 60  35   4   0   0   1|   0   223k:2483k  244k:   0   230k:   0   258k:2483k  966k| 538M  538M:  20k 1259B:  11k   18k:  31k   19k|   0     0 |  28k   70k
 65  33   1   0   0   1|   0   194k:2483k  209k:   0   208k:   0   242k:2483k  866k| 840M  840M:  41k 1397B:  18k   23k:  59k   24k|   0     0 |  20k   98k
 71  27   0   0   0   2|   0   170k:2074k  134k:   0   134k:   0   108k:2074k  862k| 939M  939M:  30k  781B:  18k   22k:  48k   23k|   0     0 |  13k  107k
 79  20   0   0   0   2|   0    90k:2458k  676k:   0    96k:   0    72k:2458k  959k|1096M 1096M:  34k 4984B:  21k   25k:  55k   30k|   0     0 |  11k  125k
 79  19   0   0   0   2|   0  1112k:2074k  775k:   0  1037k:   0    60k:2074k 3010k|1115M 1115M:  28k  790B:  24k   26k:  52k   27k|   0     0 |  10k  128k
 77  21   0   0   0   2|   0   163M:2458k  129M:   0   206M:   0   130M:2458k  628M|1170M 1170M:  38k 5047B:  28k   25k:  66k   30k|   0     0 |  10k  132k
 73  23   0   0   0   3|   0   647M:2048k  603M:   0    26M:   0   484M:2118k 1760M|1175M 1175M:  36k  781B:  28k   21k:  64k   21k|  70k    0 |  11k  133k
 68  28   0   0   0   4| 819B  507M:2509k  610M:   0   500M:   0   807M:2510k 2423M|1324M 1324M:  27k   52B:  27k   21k:  54k   22k|   0     0 |  12k  150k
