You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1709k 3875k:1683k 3874k:1709k 3884k:1722k 3889k:6824k   15M|   0     0 :   0     0 :   0     0 :   0     0 |  31B  162B|1644  2262 
  0   2  95   2   0   0|2908k   77M:  24k  242M:  19k  261M:  34k  315M:3025k  895M|  31k   31k: 181B 1371B:  78k   84k:  79k   85k|   0     0 |3546  2150 
  2  11  85   2   0   0|2498k  104M:9011B   52M:  16k   55M:  21k   33M:3062k  243M| 942B  942B:  49B  959B: 303k 2290B: 303k 3248B|   0     0 |1987   897 
  8  11  81   1   0   0|2898k   78M:4096B   78M:1638B   52M:2458B   52M:4154k  259M|  18k   18k:  37B  900B:1720B   21k:1969B   21k|   0     0 |2145  1264 
 31  13  55   0   0   1|2484k   52M:   0    52M:   0    77M: 819B   52M:2585k  232M|  76M   76M:  43B  977B: 128M   98M: 128M   98M|   0     0 |  23k   19k
 54  38   5   0   0   3|2459k   52M:7373B   55M: 819B   52M:3277B   78M:2470k  236M| 262M  262M:  49B  828B: 571M  526M: 571M  526M|   0     0 |  72k   59k
 59  35   2   0   0   4|2514k  347k:  55k  400k:  38k  777k:  56k  266k:2663k 1804k| 352M  352M:  37B  959B: 842M  686M: 842M  686M|   0     0 |  84k   75k
 63  30   3   0   0   5|2086k   27M:  27k  730M:9830B   26M:  38k  615M:2162k 1397M| 372M  372M: 157B  766B: 808M  687M: 808M  687M|   0     0 |  71k   74k
 61  33   0   0   0   6|2513k  671M:  26k   21M:  24k  725M:  19k  136M:2582k 1553M| 374M  374M: 193B  967B: 907M  838M: 907M  838M|   0     0 |  69k   72k
 66  28   0   0   0   5|2050k  208M:9011B  155M:1638B  150M:5734B  155M:2082k  668M| 417M  417M: 267B 1662B: 977M  907M: 977M  907M|   0     0 |  79k   77k
 65  30   0   0   0   6|2490k  181M:  22k  698M:4096B  211M:  14k  445M:2530k 1535M| 415M  415M:  25B  959B: 898M  878M: 898M  878M|   0     0 |  73k   74k
