You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1682k 4243k:1685k 4256k:1688k 4247k:1695k 4255k:6751k   17M|   0     0 :   0     0 :   0     0 :   0     0 |  57B  201B|1971  2489 
  0   0 100   0   0   0|   0    11k:   0    15k:   0   819B:2483k    0 :2483k   58k|   0     0 :  25k 2408B: 325B  875B:  25k 3283B|   0     0 | 381   416 
  0   0  99   0   0   0|   0    21k:   0    14k:   0    23k:2458k   20k:2458k   96k|   0     0 :  53k  781B: 127B  491B:  54k 1272B|   0     0 | 383   413 
  0   0 100   0   0   0|   0     0 :   0     0 :   0     0 :2483k    0 :2483k 4096B|  31k   31k:  34k 4984B: 863k   66k: 897k   71k|   0     0 | 456   528 
  0   0 100   0   0   0|   0    23k:   0    26k:   0    39k:2458k   26k:2458k  122k|   0     0 :  30k  781B: 303k  303k: 333k  304k|   0     0 | 802   813 
  0   0 100   0   0   0|   0    39k:   0     0 :   0     0 :2483k    0 :2483k   49k|   0     0 :  41k 5047B: 153B  513B:  41k 5560B|   0     0 | 326   391 
 15   1  83   0   0   0|   0     0 :   0    33k:  14M    0 :2483k    0 :  17M   45k| 633B  633B:  34k  781B:6220k   19M:6254k   19M|   0     0 |  10k 1539 
 42  11  36   6   0   5| 109M   39k: 112M   36k: 100M   44k: 134M   83k: 455M  214k|   0     0 :  24k 4984B: 586M  644M: 586M  644M|   0     0 |  76k   28k
 46  13  29   5   0   6|  85M   33k:  96M   32k:  51M  126k:  79M   29k: 311M  250k|  31B   31B:  20k 1117B: 719M  737M: 719M  737M|   0     0 |  52k   64k
 45  14  25  10   0   6|  96M   38k:  77M   59k: 136M   69k:  60M  862k: 368M 1042k|   0     0 :  35k 2028B: 746M  798M: 746M  798M|   0     0 |  70k   59k
 47  14  23  11   0   6|  93M   57k: 125M   46k:  85M   53k: 101M   42k: 403M  207k|   0     0 :  24k  800B: 834M  811M: 834M  811M|   0     0 |  70k   51k
 50  14  17  13   0   6| 110M   34k: 121M  326k: 102M   39k:  93M   34k: 426M  443k|   0     0 :  38k 4984B:1041M  943M:1041M  943M|   0     0 |  66k   52k
 50  15  11  19   0   6|  88M  328k: 133M   54k:  94M   36k: 107M   39k: 422M  490k|   0     0 :  32k  918B:1043M  950M:1043M  950M|   0     0 |  67k   49k
 23  16  22  32   0   7| 127M  121k: 130M  131k: 105M   44k: 111M  100k: 473M  476k|   0     0 :  25k 1397B: 982M  937M: 982M  937M|   0     0 |  70k   57k
 18  18  27  30   0   6| 134M   39k: 116M   36k:  79M  106k:  92M   98k: 421M  334k|   0     0 :  52k  781B: 924M  924M: 924M  924M|   0     0 |  71k   57k
 20  14  21  39   0   7| 106M   53k: 116M   16k: 121M  162k: 126M   39k: 468M  359k|   0     0 :  37k 4984B:1094M 1024M:1094M 1024M|   0     0 |  79k   69k
 21  15  22  36   0   6|  83M   64k: 104M   11k: 133M   93k:  91M   18k: 411M  245k|   0     0 :  31k 1136B:1110M  860M:1110M  860M|   0     0 |  70k   67k
 15  16  28  35   0   6|  90M   58k: 112M   18k: 138M   46k: 125M   46k: 465M  224k|   0     0 :  40k 1397B:1041M  957M:1041M  957M|   0     0 |  75k   69k
