You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1299k 3397k:1302k 3411k:1299k 3401k:1308k 3410k:5209k   13M|   0     0 :   0     0 :   0     0 :   0     0 |  46B  207B|1758  2163 
  0   0 100   0   0   0|   0     0 :   0     0 :2483k    0 :   0     0 :2483k 3277B|   0     0 :  42k  911B: 133B  669B:  42k 1579B|   0     0 | 365   386 
  0   0 100   0   0   0|   0     0 :   0     0 :2458k    0 :   0     0 :2458k 6554B|   0     0 :  32k  790B:  25k   14k:  57k   15k|   0     0 | 762   756 
  0   0 100   0   0   0|   0  8192B:   0  9830B:2483k 9830B:   0  8192B:2483k   39k|   0     0 :  19k 5320B: 293k   18k: 312k   23k|   0     0 | 340   419 
  7  18  75   0   0   0| 819B    0 :  27k    0 :2483k    0 : 819B    0 :2514k 2458B| 632B  632B:  19k 2126B:  12k   32k:  31k   34k|   0     0 |2535  1098 
 51  34  14   0   0   1|   0   280k:   0   264k:2483k  288k:   0   274k:2483k 1282k| 350M  350M:  38k   52B:8049B 7728B:  46k 7780B|   0     0 |  24k   49k
 63  35   1   0   0   1|   0   182k:   0   192k:2458k  193k:   0   195k:2458k  773k| 769M  769M:  42k  781B:  11k   13k:  54k   14k|   0     0 |  23k   88k
 68  30   0   0   0   1|   0   182k:   0   200k:2482k  159k:   0   169k:2482k  734k| 873M  873M:  26k 4984B:9713B   15k:  36k   20k|   0     0 |  14k  102k
 74  25   0   0   0   2|   0   202k:   0   145k:2048k  187k:   0   166k:2048k  710k|1020M 1020M:  31k  781B:9469B   16k:  41k   17k|   0     0 |  12k  118k
 79  19   0   0   0   2|   0   107k:   0   349k:1872k  104k:   0   111k:1872k  682k|1122M 1122M:  36k 5056B:  11k   20k:  47k   25k|   0     0 |  10k  127k
 79  19   0   0   0   2|   0    27M:   0    27M:   0    86M:2918k   26M:2918k  165M|1163M 1163M:  38k  781B:  10k   22k:  48k   22k|   0     0 |9513   134k
 75  22   0   0   0   3|   0    77M:   0   129M:   0   528M:2078k  606M:2078k 1340M|1124M 1124M:  35k 5461B:8818B   20k:  44k   25k|   0     0 |8889   128k
 70  26   0   0   0   4|   0   645M:   0   502M:   0   729M:2488k  676M:2488k 2553M|1267M 1267M:  31k  781B:9714B   24k:  40k   24k|   0     0 |  12k  145k
 69  27   0   0   0   3|   0   645M:   0   660M:   0    50k:2458k   34M:2458k 1339M|1470M 1470M:  42k 1416B:8447B   24k:  50k   26k|   0     0 |  12k  164k
 70  27   0   0   0   3|   0    52M:   0    77M:   0   140M:2074k   51M:2074k  321M|1717M 1717M:  33k  790B:8688B   29k:  42k   29k|   0     0 |  11k  184k
 63  32   0   0   0   4| 819B  335M:   0   232M:   0   914M:2483k  573M:2484k 2055M|1791M 1791M:  20k 4984B:8561B   28k:  28k   33k|   0     0 |  12k  192k
 64  32   0   0   0   4|   0   113M:   0   361M:   0   365M:2048k  795M:2049k 1634M|1900M 1900M:  21k 1151B:9254B   29k:  30k   30k|   0     0 |  14k  202k
 63  32   0   0   0   4|1638B  887M:   0   723M:   0   168M:2484k  216M:2486k 1994M|1920M 1920M:  39k 5193B:9602B   31k:  48k   36k|   0     0 |  14k  205k
 62  34   0   0   0   5|   0   182M:   0   249M:   0   761M:2483k  747M:2483k 1939M|1982M 1982M:  45k  781B:9230B   30k:  54k   30k|   0     0 |  13k  210k
 60  34   0   0   0   6|   0  1016M: 819B  732M:   0   208M:2458k  895M:2459k 2851M|1975M 1975M:  24k 4984B:9456B   30k:  34k   35k|   0     0 |  20k  210k
 62  33   0   0   0   4| 819B  202M: 819B  318M:   0   721M:2048k   33k:2050k 1241M|2014M 2014M:  29k 1259B:9368B   30k:  39k   32k|   0     0 |  12k  213k
 62  34   0   0   0   5|   0   567M:1638B  934M:   0   253M:2483k  317M:2485k 2071M|2038M 2038M:  37k 5047B:  11k   33k:  47k   38k|   0     0 |  16k  216k
 62  33   0   0   0   5|   0   132M: 819B  949M:   0  5242k:2509k  818M:2510k 1905M|1960M 1960M:  36k  781B:9090B   29k:  46k   30k|   0     0 |  15k  208k
 61  34   0   0   0   5|   0   900M:   0    69M:   0   922M:2458k  155M:2458k 2046M|2058M 2058M:  45k 4984B:9567B   30k:  62k   35k|   0     0 |  15k  217k
 61  34   0   0   0   4|   0   922M:   0    26M:   0   961M:2074k   28M:2074k 1936M|2016M 2016M:  37k  781B:  10k   32k:  47k   32k|   0     0 |  13k  214k
 60  35   0   0   0   6|   0   446M: 819B  903M:   0   413M:2484k  950M:2485k 2712M|1979M 1979M:  43k 5056B:  10k   32k:  54k   37k|   0     0 |  17k  209k
 63  33   0   0   0   4|   0   179M:   0   439M: 819B  180M:2483k  519M:2484k 1317M|2096M 2096M:  35k  781B:9306B   29k:  46k   30k|   0     0 |  17k  221k
 61  34   0   0   0   5|   0   671M:   0   413M:   0   799M:2458k  387M:2458k 2269M|2042M 2042M:  22k 4984B:  10k   33k:  32k   38k|   0     0 |  17k  216k
 62  34   0   0   0   5| 819B  569M:   0   403M:   0   440M:2074k  390M:2074k 1803M|2025M 2025M:  21k 1259B:9386B   30k:  30k   31k|   0     0 |  15k  214k
 61  35   0   0   0   5| 819B  929M:   0   474M: 819B  381M:2483k  539M:2485k 2322M|2024M 2024M:  40k 1397B:9744B   31k:  50k   32k|   0     0 |  15k  213k
 61  34   0   0   0   5|   0    51M:   0   592M: 819B  549M:2458k  787M:2458k 1979M|2047M 2047M:  43k  781B:9936B   32k:  53k   33k|   0     0 |  14k  218k
 59  36   0   0   0   5| 819B  779M:1638B  698M:   0   309M:2458k  400M:2461k 2187M|1983M 1983M:  24k 4984B:  10k   31k:  34k   36k|   0     0 |  19k  210k
 60  36   0   0   0   5| 819B  640M:   0   129M:  13k  464M:2483k  361M:2497k 1595M|1974M 1974M:  29k  781B:9352B   30k:  38k   31k|   0     0 |  12k  208k
 59  36   0   0   0   5|   0   361M: 819B  685M:   0   749M:2509k  335M:2510k 2131M|2005M 2005M:  36k 5193B:9756B   30k:  45k   35k|   0     0 |  13k  212k
 60  36   0   0   0   5|   0    77M: 819B  682M:   0   311M:2458k  695M:2484k 1765M|1984M 1984M:  37k  781B:  10k   33k:  47k   34k|   0     0 |  13k  210k
 59  36   0   0   0   5|   0   932M:   0    77M:   0   205M:2470k  930M:2498k 2145M|1983M 1983M:  40k 4984B:9770B   31k:  49k   36k|   0     0 |  17k  210k
