You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1436k 3334k:1433k 3337k:1423k 3326k:1445k 3341k:5737k   13M|   0     0 :   0     0 :   0     0 :   0     0 |  45B  202B|1721  2101 
  0   0 100   0   0   0|   0     0 :   0     0 :2458k    0 :   0     0 :2458k 4915B|   0     0 :  21k 7396B: 180B  669B:  21k 8065B|   0     0 | 315   385 
  0   0 100   0   0   0|   0     0 :   0     0 :2483k    0 :   0     0 :2483k 9011B|   0     0 :  37k 9030B: 303k  302k: 340k  311k|   0     0 | 738   734 
  0   0 100   0   0   0|   0  8192B:   0  8192B:2483k   11k:   0  9011B:2483k   40k|   0     0 :  41k 6536B: 417B 2565B:  41k 9101B|   0     0 | 303   394 
  7   9  84   0   0   0|   0     0 :   0     0 :2483k    0 :   0     0 :2486k 2458B| 632B  632B:  33k   12k:  22k 2117B:  55k   14k|   0     0 |2228  1029 
 51  33  15   0   0   1|   0   180k:   0   188k:2048k  184k:   0   181k:2048k  743k| 342M  342M:  23k 6542B:  14k 7567B:  37k   14k|   0     0 |  23k   47k
 64  34   1   0   0   1|   0   232k:   0   213k:2483k  261k:   0   225k:2483k  942k| 758M  758M:  33k   12k:9401B   13k:  43k   25k|   0     0 |  25k   89k
 68  30   0   0   0   1|   0   210k:   0   176k:2074k  211k:   0   173k:2074k  784k| 938M  938M:  36k   19k:9080B   15k:  45k   34k|   0     0 |  16k  108k
 71  28   0   0   0   1|   0   206k:   0   154k:2458k  181k:   0   151k:2458k 1007k| 960M  960M:  38k   20k:  10k   17k:  48k   37k|   0     0 |  12k  109k
 74  25   0   0   0   2|   0   166k:   0   143k:2074k  460k:   0   166k:2074k  949k|1047M 1047M:  41k   36k:9790B   18k:  50k   54k|   0     0 |9343   121k
