You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1776k 4214k:1778k 4217k:1769k 4205k:1785k 4221k:7108k   16M|   0     0 :   0     0 :   0     0 :   0     0 |  55B  198B|1938  2433 
  0   0 100   0   0   0|   0     0 :2483k    0 :   0    34k:   0     0 :2483k   42k|  32k   32k:  30k   13k: 936k  937k: 966k  950k|   0     0 | 719   584 
  0   0 100   0   0   0|   0    65k:2483k   68k:   0     0 :   0    70k:2483k  242k|   0     0 :  41k 7358B: 301k  305k: 342k  312k|   0     0 | 767   740 
  0   0 100   0   0   0|   0    16k:2483k 9011B:   0    11k:   0    15k:2483k   87k|   0     0 :  24k   11k: 126B  513B:  24k   12k|   0     0 | 325   409 
  0   0  99   0   0   0|   0     0 :2458k    0 :   0     0 :   0     0 :2458k    0 |   0     0 :  32k 7356B: 135B  670B:  32k 8026B|   0     0 | 380   420 
 51   5  39   4   0   1|  18M    0 :  28M    0 :  15M    0 :  23M    0 :  84M    0 |1553B 1553B:  50k   11k: 182M  123M: 182M  123M|   0     0 |  23k 9481 
 51  12  23   8   0   6|  66M   59k:  72M   45k: 109M   51k: 105M   56k: 351M  226k|   0     0 :  28k 7368B: 820M  333M: 820M  333M|   0  1638B|  64k   49k
 47  13  24  10   0   6| 194M   62k:  68M   90k: 134M   59k: 145M  890k: 541M 1154k| 156B  156B:  43k   27k: 830M  423M: 830M  423M|   0    10k|  83k   62k
 49  17  16  12   0   6| 221M   43k: 244M   54k: 158M  117k: 150M   47k: 773M  307k|   0     0 :  32k   23k: 820M  627M: 820M  627M|   0    25k|  79k   65k
 49  17  13  14   0   6| 236M  426k: 195M   34k: 223M   35k: 195M  118k: 849M  648k|   0     0 :  30k   46k: 962M  659M: 962M  659M|   0    22k|  77k   58k
 49  24   8  12   0   6| 176M   41k: 277M  134k: 173M   28k: 126M   35k: 752M  250k|   0     0 :  49k   39k:1008M  708M:1008M  709M|   0     0 |  68k   53k
 25  26  21  23   0   6| 181M   54k: 174M   23k: 211M  106k: 217M  373k: 784M  618k|   0     0 :  27k   62k: 982M  689M: 982M  689M|   0     0 |  65k   57k
 25  23  20  26   0   6| 251M   76k: 163M   44k: 153M   64k: 341M   44k: 909M  299k|   0     0 :  21k   51k: 958M  807M: 958M  807M|   0     0 |  70k   63k
 21  18  23  32   0   6| 149M   50k: 203M   78k: 240M   36k: 294M   16k: 886M  248k|   0     0 :  26k   68k:1078M  984M:1078M  984M|   0     0 |  64k   65k
 18  17  33  27   0   6| 164M   14k: 277M   86k: 216M   61k: 306M   13k: 963M  274k|   0     0 :  40k   51k:1078M  935M:1078M  935M|   0     0 |  73k   71k
 18  21  26  29   0   6| 238M   47k: 257M   40k: 314M   94k: 200M   18k:1009M  266k|   0     0 :  24k   68k:1064M  943M:1064M  943M|   0     0 |  72k   66k
 11  17  32  33   0   6| 268M  129k: 283M   55k: 257M   24k: 290M   71k:1099M  336k|   0     0 :  31k   51k:1127M  961M:1127M  961M|   0     0 |  72k   69k
 20  28  20  27   0   5| 238M   30k: 299M   34k: 171M   26k: 291M  819B: 998M  128k|   0     0 :  42k   77k: 842M  884M: 842M  884M|   0     0 |  60k   59k
 10  26  30  29   0   5| 283M 4915B: 156M    0 : 172M    0 : 295M 9011B: 906M   44k|   0     0 :  29k   47k: 846M  819M: 846M  819M|   0     0 |  61k   54k
  9  20  30  35   0   6| 224M    0 : 265M    0 : 322M    0 : 266M    0 :1076M   34k|   0     0 :  44k   77k: 786M 1016M: 786M 1016M|   0     0 |  73k   66k
  9  15  30  39   0   6| 231M    0 : 270M    0 : 257M    0 : 150M    0 : 908M   33k|   0     0 :  30k   51k:1065M  954M:1065M  954M|   0     0 |  66k   74k
 10  17  31  36   0   6| 195M    0 : 333M    0 : 222M    0 : 180M    0 : 930M   79k|   0     0 :  33k   68k:1170M  860M:1170M  860M|   0     0 |  73k   72k
 10  19  28  37   0   6| 164M    0 : 200M    0 : 215M   11k: 271M    0 : 849M   46k|   0     0 :  48k   51k:1058M  937M:1058M  937M|   0     0 |  71k   73k
  8  14  33  39   0   6| 197M 9830B: 157M 8192B: 162M    0 : 189M   10k: 705M   65k|   0     0 :  29k   68k:1136M  833M:1136M  833M|   0     0 |  73k   68k
  8  18  31  36   0   6| 158M    0 : 186M    0 : 141M    0 : 212M    0 : 698M   19k|   0     0 :  22k   51k: 999M  862M: 999M  862M|   0     0 |  76k   68k
  9  12  37  37   0   6| 114M    0 : 136M    0 : 140M    0 : 167M    0 : 557M   30k|   0     0 :  26k   68k:1082M  781M:1082M  781M|   0     0 |  71k   71k
  8  13  35  38   0   6| 148M    0 : 107M    0 : 108M    0 : 143M    0 : 505M   34k|   0     0 :  39k   52k:1156M  803M:1156M  803M|   0     0 |  71k   70k
  9  14  29  42   0   7| 151M    0 : 139M    0 : 118M    0 : 177M    0 : 585M   26k|   0     0 :  24k   64k:1192M  856M:1192M  856M|   0     0 |  81k   73k
 10  16  27  40   0   7| 150M    0 : 123M    0 : 176M    0 : 130M    0 : 579M   72k|   0     0 :  30k   51k:1171M  844M:1171M  844M|   0     0 |  77k   75k
  9  12  30  43   0   6| 135M    0 : 172M    0 : 125M    0 :  91M    0 : 522M   38k|   0     0 :  44k   68k:1158M  865M:1158M  865M|   0     0 |  67k   69k
 10  13  29  41   0   7| 139M    0 : 141M    0 : 114M    0 : 177M    0 : 571M   19k|   0     0 :  38k   51k:1032M  892M:1032M  892M|   0     0 |  77k   76k
  9  13  34  38   0   6| 156M    0 : 119M    0 : 164M    0 : 189M    0 : 629M   14k|   0     0 :  44k   68k:1098M  933M:1098M  933M|   0     0 |  82k   78k
  9  13  27  45   0   6| 121M    0 : 155M    0 :  89M    0 : 134M    0 : 498M   38k|   0     0 :  33k   51k: 999M  891M: 999M  891M|   0     0 |  74k   73k
  9  13  34  38   0   6| 143M    0 : 155M    0 : 100M    0 : 157M    0 : 555M   26k|   0     0 :  30k   68k:1051M  964M:1051M  964M|   0     0 |  77k   73k
  8  14  32  40   0   7| 143M    0 : 167M    0 : 125M    0 : 154M    0 : 589M   32k|   0     0 :  49k   52k:1118M  920M:1118M  921M|   0     0 |  75k   75k
  8  12  32  41   0   6| 166M    0 : 189M    0 : 118M    0 : 125M    0 : 598M   67k|   0     0 :  27k   64k:1031M  939M:1031M  939M|   0     0 |  75k   73k
  9  13  32  40   0   6| 132M    0 : 135M    0 : 105M    0 : 153M    0 : 525M   35k|   0     0 :  22k   51k: 980M  971M: 980M  971M|   0     0 |  82k   75k
  8  14  34  37   0   6| 121M    0 :  95M    0 : 191M    0 : 233M    0 : 640M   19k|   0     0 :  26k   68k:1019M 1027M:1019M 1027M|   0     0 |  75k   72k
  9  14  35  36   0   7| 168M    0 : 177M    0 : 217M    0 : 159M    0 : 720M   24k|   0     0 :  39k   51k: 921M 1088M: 921M 1088M|   0     0 |  79k   76k
