You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1528k 4183k:1531k 4196k:1537k 4187k:1539k 4194k:6136k   16M|   0     0 :   0     0 :   0     0 :   0     0 |  57B  201B|1934  2433 
  0   0 100   0   0   0|2893k    0 :   0    72k:   0    30k:   0    33k:2930k  142k|  31k   31k:  31k 1063B: 663B   32k:  32k   33k|   0     0 | 408   466 
  0   0 100   0   0   0|2893k   41k:   0     0 :   0     0 :   0     0 :2893k   90k|   0     0 :  34k 2126B: 352k  370k: 387k  372k|   0     0 |2001  1828 
  1   1  99   0   0   0|2893k    0 :   0    19k:   0    18k:   0    18k:3194k   64k| 492B  492B:  28k  114B:  21k   20k:  49k   20k|   0     0 | 893   783 
 31   3  62   3   0   0|  81M   76k: 132M   46k: 103M   70k: 181M   37k: 497M  243k| 141B  141B:  41k 5712B:  13k 3338B:  54k 9051B|   0     0 |  11k 4202 
 39   9  38  14   0   1| 447M   34k: 409M   38k: 436M   30k: 539M  104k:1831M  213k|   0     0 :  33k   52B:  42k 5148B:  75k 5201B|   0     0 |  29k   15k
 41  10  29  19   0   1| 514M  213k: 480M   52k: 556M   25k: 544M   30k:2094M  329k|  31B   31B:  31k 5917B:  30k 6744B:  60k   12k|   0     0 |  35k   20k
 41  12  19  27   0   1| 614M   26k: 629M   37k: 492M   35k: 514M   37k:2249M  159k|   0     0 :  50k   52B:  29k 7660B:  81k 7713B|   0     0 |  38k   25k
 42  11  17  29   0   1| 407M   88k: 515M   88k: 657M   74k: 457M  374k:2037M  642k|   0     0 :  32k 6048B:  24k 9840B:  56k   16k|   0     0 |  39k   23k
 42  11  23  24   0   1| 525M   46k: 533M  444k: 593M   98k: 420M   57k:2071M  693k|   0     0 :  27k   52B:4869B 9953B:  32k   10k|   0     0 |  38k   24k
 18   4  73   5   0   0| 121M   53k: 171M   65k:  52M   45k: 174M   30k: 517M  218k|   0     0 :  21k 5776B:2463B 9100B:  23k   15k|   0     0 |  15k 8896 
  5   1  94   0   0   0|   0   181k:   0    59k:   0   144k:2893k   35k:2893k  470k|   0     0 :  38k   62B:1128B 6022B:  39k 6084B|   0     0 |2022  3023 
 11   9  43  35   0   1| 480M   23k: 494M   59k: 487M   41k: 526M  143k:1987M  325k|   0     0 :  32k 5712B:  74k 9963B: 107k   15k|   0     0 |  33k   37k
 16   8  41  34   0   1| 513M   51k: 263M   16k: 485M   24k: 347M   90k:1607M  237k|   0     0 :  31k   52B:5291B   10k:  36k   10k|   0     0 |  30k   32k
 11   9  41  38   0   1| 574M   14k: 278M   42k: 498M   90k: 538M   47k:1888M  275k|   0     0 :  33k 5776B:5417B   10k:  38k   16k|   0     0 |  32k   33k
 14  10  42  33   0   1| 446M   52k: 386M   38k: 465M   59k: 390M   14k:1687M  224k|   0     0 :  29k   52B:  16k   11k:  45k   11k|   0     0 |  32k   31k
 12   8  44  35   0   1| 357M   58k: 486M   58k: 467M   47k: 399M   34k:1708M  278k|   0     0 :  42k 6185B:  18k   11k:  60k   17k|   0     0 |  34k   37k
 16   8  41  33   0   1| 480M   11k: 349M    0 : 464M   30k: 409M 9011B:1702M   81k|   0     0 :  32k   52B:  14k   11k:  46k   11k|   0     0 |  32k   37k
 12  10  40  37   0   1| 616M    0 : 605M 9830B: 504M 4096B: 400M    0 :2124M   44k|   0     0 :  30k 2126B:  24k   12k:  56k   14k|   0     0 |  38k   42k
 15  12  31  41   0   1| 480M   19k: 679M    0 : 604M   23k: 649M   26k:2412M   98k|   0     0 :  49k   52B:  16k   11k:  65k   11k|   0     0 |  43k   48k
 17  10  35  37   0   1| 636M    0 : 513M    0 : 597M    0 : 499M    0 :2246M   26k|   0     0 :  27k 5712B:  20k   11k:  47k   17k|   0     0 |  35k   43k
  6   6  51  36   0   1| 268M    0 : 308M    0 : 475M    0 : 485M    0 :1535M   43k|   0     0 :  26k   62B:  14k   11k:  40k   11k|   0     0 |  23k   24k
  5   6  52  36   0   1| 185M    0 : 436M 9011B: 419M    0 : 433M    0 :1472M   65k|   0     0 :  26k 5776B:  16k   12k:  44k   17k|   0     0 |  24k   25k
  6   7  51  35   0   1| 400M    0 : 328M    0 : 451M    0 : 391M    0 :1570M   31k|   0     0 :  41k   52B:  14k   11k:  54k   11k|   0     0 |  28k   29k
  5   6  55  33   0   1| 356M    0 : 295M    0 : 425M    0 : 218M    0 :1295M   14k|   0     0 :  33k 6048B:7565B   10k:  40k   16k|   0     0 |  21k   20k
  6   8  46  39   0   1| 515M    0 : 530M    0 : 473M    0 : 397M    0 :1915M   31k|   0     0 :  30k   69B:  26k   12k:  56k   12k|   0     0 |  28k   30k
  6   9  41  43   0   1| 509M    0 : 512M 4096B: 580M    0 : 508M    0 :2109M   30k|   0     0 :  34k 2135B:  25k   11k:  59k   13k|   0     0 |  29k   33k
  6   8  43  43   0   1| 532M    0 : 494M    0 : 578M    0 : 421M    0 :2025M   30k|   0     0 :  28k   52B:  20k   12k:  49k   12k|   0     0 |  26k   29k
  5   7  53  35   0   1| 454M 9011B: 377M   22k: 458M   19k: 219M 9830B:1509M  117k|   0     0 :  48k 5712B:  11k   12k:  62k   17k|   0     0 |  20k   21k
  5   7  55  33   0   1| 472M   20k: 374M   15k: 392M    0 : 362M   11k:1600M  104k|   0     0 :  32k   52B:  18k   11k:  50k   11k|   0     0 |  23k   18k
  5   7  51  35   0   1| 580M    0 : 330M    0 : 464M   18k: 469M    0 :1843M   46k|   0     0 :  31k 5776B:  21k   10k:  53k   16k|   0     0 |  26k   22k
  5   6  54  34   0   1| 405M    0 : 439M   30k: 311M    0 : 385M    0 :1539M   42k|   0     0 :  49k   62B:  18k 9989B:  67k   10k|   0     0 |  22k   17k
  5   8  53  33   0   1| 507M    0 : 485M 5734B: 413M    0 : 504M    0 :1909M   33k|   0     0 :  28k 6185B:  20k   10k:  49k   16k|   0     0 |  25k   23k
  6   9  46  38   0   1| 643M    0 : 581M   26k: 527M 1638B: 568M    0 :2320M   47k|   0     0 :  27k   52B:  38k   12k:  65k   12k|   0     0 |  30k   30k
  6  10  48  35   0   1| 662M   26k: 627M   23k: 508M   30k: 614M   22k:2411M  139k|   0     0 :  22k 6146B:  32k   13k:  54k   19k|   0     0 |  34k   26k
  6  10  50  33   0   1| 604M  819B: 582M   21k: 668M   28k: 595M   20k:2447M  132k|   0     0 :  38k   62B:  33k   11k:  72k   11k|   0     0 |  35k   25k
  5  10  57  27   0   1| 628M   27k: 630M   26k: 713M   25k: 454M   27k:2425M  177k|   0     0 :  34k 5712B:  51k   12k:  85k   17k|   0     0 |  33k   24k
  4   7  69  19   0   1| 518M   25k: 492M   26k: 256M   24k: 652M   22k:1918M  113k|   0     0 :  31k   52B:  32k 7491B:  64k 7544B|   0     0 |  25k   16k
  4   7  72  17   0   1| 579M   20k: 467M  129k: 424M    0 : 560M  819B:2030M  164k|   0     0 :  34k 5776B:  30k 6542B:  65k   12k|   0     0 |  25k   15k
  3   6  81  10   0   0| 334M   23k: 446M   27k: 461M   22k: 325M   20k:1566M  110k|   0     0 :  28k   52B:  24k 6124B:  53k 6176B|   0     0 |  20k 8225 
  0   1  99   0   0   0|   0    18k:8654k   45k:  26M   29k:   0    27k:  34M  131k|   0     0 :  41k 6048B:9738B 1436B:  51k 7484B|   0     0 |1039   631 
  0   0 100   0   0   0|   0    31k:2893k   18k:   0    82k:   0    62k:2893k  194k|   0     0 :  31k   62B: 197k   22k: 229k   22k|   0     0 | 543   655 
