You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1708k 4069k:1681k 4068k:1707k 4078k:1720k 4083k:6817k   16M|   0     0 :   0     0 :   0     0 :   0     0 |  31B  162B|1689  2321 
  0   0 100   0   0   0|   0     0 :2483k    0 :   0     0 :   0     0 :2483k    0 |   0     0 :  92B 1750B: 145B  669B:1077B 2419B|   0     0 | 222   391 
  0   0 100   0   0   0|   0     0 :2893k    0 :   0     0 :   0     0 :2893k   11k|   0     0 :  82B   52B:  24k   36k:  33k   36k|   0     0 |1431  1480 
  1   0  99   0   0   0|1638B   29k:2894k   19k:  15k   21k: 819B   32k:2930k  108k| 801B  801B:  61B 1673B: 318k  317k: 319k  319k|   0     0 | 826   830 
 10   0  90   0   0   0|   0     0 :2458k   31k:   0     0 :   0     0 :2897k   35k|  18k   18k:  37B  113B:1893B   21k:3841B   21k|   0     0 |1381  1010 
 22   2  74   1   0   0|  40M   26k:  80M   20k:  26M   32k:1638B   22k: 146M  141k|3672B 3672B:  49B 1673B:  52M   41M:  52M   41M|   0     0 |  16k 3373 
 42  12  37   6   0   3| 270M   39k: 349M   22k: 361M   32k: 206M   30k:1187M  142k|4778B 4778B:  85B   52B: 387M  314M: 387M  314M|   0     0 |  87k   12k
 46  24  17   8   0   5| 259M   29k: 480M   31k: 337M   32k: 399M   36k:1475M  139k|  19k   19k: 229B 1673B: 625M  339M: 625M  339M|   0     0 |  71k   23k
 48  32   8   6   0   5| 561M   27k: 469M   33k: 423M   34k: 344M   37k:1797M  143k|7668B 7668B:  49B  450B: 478M  531M: 478M  531M|   0     0 |  73k   30k
 31  64   0   1   0   3| 312M   86k: 251M  330k: 282M   76k: 308M   79k:1153M  586k|6181B 6181B:  61B  959B: 250M  153M: 250M  153M|   0     0 |  58k 9353 
 46  43   3   5   0   3| 477M  166k: 340M  233k: 363M  155k: 356M  446k:1536M 1052k|  10k   10k: 273B   10k:  81M  405M:  81M  405M|   0     0 |  83k   14k
 41  17  18  22   0   3| 593M   90k: 507M   57k: 578M   37k: 374M   38k:2052M  262k|9098B 9098B:  49B 1682B: 159M  470M: 159M  470M|   0     0 | 107k   22k
 12  11  53  21   0   3| 497M   76k: 418M   38k: 529M   73k: 457M   25k:1902M  293k|6450B 6450B:  25B  113B:  94M  383M:  94M  383M|   0     0 |  95k   21k
 14  16  44  23   0   3| 428M   22k: 549M   44k: 408M   43k: 530M   97k:1915M  266k|7821B 7821B:  85B 1673B: 209M  356M: 209M  356M|   0     0 | 107k   26k
 13  12  52  20   0   3| 416M   38k: 537M   48k: 403M   62k: 554M   47k:1910M  250k|7232B 7232B: 241B   52B: 208M  242M: 208M  242M|   0     0 |  84k   22k
 11  12  54  21   0   3| 545M   35k: 378M   37k: 398M   39k: 476M   42k:1798M  199k|7441B 7441B:  97B 1682B: 157M  314M: 157M  314M|   0     0 | 101k   22k
 17  24  30  25   0   4| 403M   41k: 472M   25k: 501M   42k: 454M   50k:1829M  232k|8605B 8605B:  61B  441B: 235M  434M: 235M  434M|   0     0 | 102k   29k
  9  24  42  22   0   2| 522M  129k: 320M  162k: 577M   65k: 391M   83k:1810M  522k|7079B 7079B:  37B 1673B:  16M  339M:  16M  339M|   0     0 | 101k   18k
 15  30  24  27   0   5| 518M   14k: 425M   13k: 402M   26k: 442M   10k:1786M   96k|  16k   16k:  37B   52B: 411M  477M: 411M  477M|   0     0 |  92k   35k
 18  19  32  26   0   4| 457M   19k: 426M   14k: 432M   22k: 365M   22k:1681M  139k|  10k   10k:  25B 1673B: 250M  440M: 250M  440M|   0     0 | 106k   32k
 14  24  30  28   0   4| 403M   10k: 520M   13k: 428M    0 : 530M    0 :1881M   54k|8200B 8200B: 193B  113B: 266M  388M: 266M  388M|   0     0 |  92k   33k
 14  25  39  18   0   3| 452M    0 : 540M 2458B: 362M   14k: 573M   17k:1927M   59k|9513B 9513B: 187B 1691B: 224M  227M: 224M  227M|   0     0 |  89k   22k
 17  18  37  23   0   4| 515M    0 : 503M   14k: 521M    0 : 526M    0 :2066M   39k|  11k   11k:  61B   68B: 611M  318M: 611M  318M|   0     0 |  93k   41k
 17  16  36  26   0   4| 363M   45k: 554M   85k: 523M   21k: 439M   59k:1879M  254k|8954B 8954B: 401B 9461B: 495M  246M: 495M  246M|   0     0 |  93k   32k
  8  18  56  15   0   4| 381M    0 : 425M   42k: 477M   14k: 410M    0 :1693M  113k|9128B 9128B:  61B  457B: 237M  503M: 237M  503M|   0     0 | 116k   25k
  9  21  55  10   0   4| 331M   19k: 407M 9011B: 344M   18k: 296M   66k:1378M  145k|8104B 8104B:  25B 1014B: 411M  519M: 411M  519M|   0     0 |  96k   33k
  6  11  68  11   0   4| 345M   22k: 412M   18k: 363M   13k: 309M   15k:1429M  130k|7022B 7022B:  49B  185B: 335M  410M: 335M  410M|   0     0 |  92k   33k
  5  10  70  12   0   3| 355M    0 : 312M 4915B: 320M    0 : 359M   12k:1345M   41k|8269B 8269B: 277B 1673B: 236M  426M: 236M  426M|   0     0 | 105k   23k
  4   6  84   6   0   1| 338M   14k: 137M   13k: 163M   16k: 336M   16k: 975M   78k|  11k   11k:  85B  252B:  48M  315M:  48M  315M|   0     0 |  74k   10k
  3   6  87   2   0   2| 172M    0 : 195M   10k: 137M   21k:  84M   20k: 588M   83k|  11k   11k: 193B 1682B: 134M  491M: 134M  491M|   0     0 |  86k   15k
  2   2  96   0   0   1|  52M   16k:   0    90k:  80M    0 :  15M 9830B: 148M  150k|8320B 8320B: 229B   52B:  80M  125M:  80M  125M|   0     0 |  34k 5146 
  2   2  93   1   0   1|  73M   29k:  79M   26k:  38M   24k: 127M   27k: 317M  145k|7807B 7807B:  25B 1733B:  96M   88M:  96M   88M|   0     0 |  38k 5491 
  3   3  91   2   0   1|  76M    0 :  75M 4915B: 142M 4096B:  90M   22k: 382M   59k|4234B 4234B:  49B  441B: 189M  187M: 189M  187M|   0     0 |  53k   11k
  6  10  71   9   0   4| 180M  819B: 269M 4096B: 240M    0 : 346M 4096B:1035M   39k|5772B 5772B:  73B 1673B: 510M  218M: 510M  218M|   0     0 |  87k   35k
  6   8  71  11   0   4| 281M 4096B: 469M 5734B: 352M 2458B: 157M    0 :1259M   42k|6601B 6601B: 277B   52B: 602M   29M: 602M   29M|   0     0 |  93k   39k
  5  10  67  14   0   4| 273M    0 : 333M 2458B: 350M 7373B: 326M 4096B:1281M   30k|5356B 5356B: 148B 1673B: 567M  166M: 567M  166M|   0     0 |  94k   42k
  6  11  59  19   0   4| 327M    0 : 323M 2458B: 562M    0 : 334M    0 :1546M   30k|9196B 9196B: 182B  122B: 520M  355M: 520M  355M|   0     0 | 100k   44k
  6  21  53  15   0   4| 484M   11k: 339M   76k: 389M   10k: 303M   18k:1514M  145k|8224B 8224B:  37B 1673B: 573M  205M: 573M  205M|   0     0 |  78k   42k
  9  21  48  17   0   5| 298M   32k: 517M   26k: 361M   20k: 358M   44k:1533M  155k|  13k   13k:  49B   52B: 720M  494M: 720M  494M|   0     0 |  72k   59k
  6  10  66  14   0   4| 332M    0 : 412M   30k: 300M   30k: 322M   14k:1365M  101k|  14k   14k:  61B 1673B: 413M  415M: 413M  415M|   0     0 |  94k   35k
  4  11  76   6   0   3| 317M   18k: 189M   12k: 244M    0 : 286M   34k:1036M   94k|7722B 7722B: 229B  441B: 248M  394M: 248M  394M|   0     0 |  92k   19k
  3   9  81   2   0   4| 269M    0 : 163M 2458B: 156M    0 : 156M    0 : 743M   23k|4395B 4395B:  97B 1673B: 318M  511M: 318M  511M|   0     0 | 111k   26k
  5  20  60  11   0   4| 310M    0 : 347M 2458B: 214M 2458B: 335M 4096B:1206M   18k|4456B 4456B:  25B  185B: 491M  443M: 491M  443M|   0     0 |  90k   37k
  6  21  51  17   0   5| 436M    0 : 402M 2458B: 483M 6554B: 361M    0 :1682M   30k|6579B 6579B:  85B 1682B: 492M  323M: 492M  323M|   0     0 |  97k   38k
  4   7  78   8   0   3| 234M 4096B: 189M   92k: 258M 2458B: 157M 4915B: 838M  134k|  12k   12k:  68B  113B: 427M  168M: 427M  168M|   0     0 |  72k   23k
  6  21  54  14   0   5| 339M   59k: 332M   35k: 406M   18k: 208M   14k:1284M  155k|9290B 9290B:  61B 1673B: 679M  270M: 679M  270M|   0     0 |  87k   50k
  3   7  80   7   0   3| 129M   26k: 236M   25k: 258M   29k: 208M   20k: 831M  124k|  16k   16k: 157B   52B: 240M  300M: 240M  300M|   0     0 |  83k   15k
  4   6  83   6   0   2| 168M    0 : 296M 8192B: 347M    0 : 182M   40k: 994M   82k|4185B 4185B: 181B 1673B: 307M  144M: 307M  144M|   0     0 |  64k   18k
  4   6  81   7   0   2| 199M   18k: 435M   11k: 209M   19k: 217M   20k:1059M   77k|6184B 6184B:  37B  457B: 290M  237M: 290M  237M|   0     0 |  86k   18k
  3   4  86   5   0   2| 204M   14k: 190M   14k: 133M 9830B: 248M   14k: 775M   66k|6079B 6079B:  37B 1682B: 307M   97M: 307M   97M|   0     0 |  80k   14k
  3   4  89   4   0   1| 206M 2458B: 137M 2458B: 130M    0 : 181M 3277B: 654M   22k|1979B 1979B:  73B   60B: 269M   34M: 269M   34M|   0     0 |  46k   12k
  1   1  97   0   0   0|  26M 6554B:  35M   64k:  28M    0 :  26M    0 : 115M   91k|2032B 2032B:  49B 1673B:  64M   46M:  64M   46M|   0     0 |  24k 3832 
  2   4  89   3   0   2|  81M 2458B: 223M   20k: 186M   18k:  52M    0 : 542M   70k|7185B 7185B: 655B  741B: 242M   59M: 242M   59M|   0     0 |  60k   14k
  3   4  87   4   0   2| 175M   33k: 181M   29k: 106M   12k: 271M   41k: 732M  126k|5092B 5092B:  97B 1673B: 279M   93M: 279M   93M|   0     0 |  69k   12k
  1   2  96   1   0   1|  74M 2458B:  26M   14k:  57M 1638B:  64M   43k: 221M   71k|9416B 9416B:  37B   52B: 100M  107M: 100M  107M|   0     0 |  41k 4224 
  1   3  93   2   0   1| 117M   26k: 184M 8192B: 158M   19k:  77M   26k: 536M  102k|7958B 7958B:  25B 1673B: 110M  115M: 110M  115M|   0     0 |  50k 6614 
  1   1  97   1   0   0| 125M   22k: 819B   19k:  31M 9011B:  26M   12k: 182M   76k|8774B 8774B: 100B  441B: 290k  104M: 291k  104M|   0     0 |  20k 2197 
  1   2  96   0   0   1|  52M    0 :  82M 2458B:  54M    0 :  52M    0 : 240M   18k|2817B 2817B: 109B 1673B:1398k  239M:1398k  239M|   0     0 |  62k 6542 
  1   3  94   1   0   1| 129M    0 : 116M   56k:  80M 1638B:  26M 3277B: 351M   70k|4132B 4132B:  61B  194B:1737k  353M:1738k  353M|   0     0 | 102k 8060 
  1   2  96   0   0   1|  52M 1638B:  31M   34k: 131M   22k:  26M 4915B: 240M   77k|9674B 9674B: 301B 1673B:1268k  241M:1269k  241M|   0     0 |  73k 7017 
  1   3  94   1   0   1| 129M   33k:  81M 2458B:  80M    0 :  44M   33k: 333M   74k|4115B 4115B:  44B  113B:1992k  334M:1992k  334M|   0     0 | 102k   11k
  1   2  96   0   0   1|  52M 4915B:  52M 2458B:  80M    0 :  34M   46k: 217M   58k|4175B 4175B: 137B 1673B:1017k  219M:1018k  219M|   0     0 |  67k 6772 
  0   1  98   0   0   0|  26M 2458B:  52M 2458B:2893k    0 :  26M 7373B: 106M   29k|   0     0 :  49B   52B: 456k  104M: 464k  104M|   0     0 |  25k 2627 
  0   0 100   0   0   0|   0  6554B:   0  2458B:2483k    0 :   0     0 :2483k   18k|   0     0 :  49B 1673B:3924B 1976B:5826B 3650B|   0     0 | 359   573 
  0   0 100   0   0   0|   0     0 :   0  2458B:2893k    0 :   0     0 :2893k   11k|   0     0 :  49B  580B:2917B 2158B:4944B 2738B|   0     0 | 358   576 
  0   1  99   0   0   0|   0     0 :  26M   27k:  54M 3277B:   0     0 :  80M   41k|2741B 2741B:  37B 1673B: 391k   78M: 391k   78M|   0     0 |  24k 1729 
  0   1  98   0   0   0|  26M    0 :  77M    0 :  31M    0 :   0  4096B: 135M 4915B|  16k   16k: 289B   60B: 583k  134M: 584k  134M|   0     0 |  33k 1773 
  0   0  99   0   0   0|5734B 6554B:  26M 2458B:2897k    0 :  38k   12k:  29M   30k| 199k  199k:  25B 1673B: 170k   26M: 170k   26M|   0     0 |9463  1071 
