You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1722k 4215k:1724k 4218k:1716k 4207k:1731k 4223k:6893k   16M|   0     0 :   0     0 :   0     0 :   0     0 |  55B  195B|1915  2415 
  0   0 100   0   0   0|   0     0 :2483k    0 :   0     0 :   0     0 :2483k 9011B|   0     0 :  38k 5847B: 183B  670B:  38k 6517B|   0     0 | 393   403 
  0   0 100   0   0   0|   0     0 :2483k    0 :   0     0 :   0     0 :2483k 2458B|   0     0 :  31k   14k:5585B 9492B:  37k   23k|   0     0 | 711   712 
  0   0 100   0   0   0|   0    18k:2458k   14k:   0    13k:   0    15k:2458k   63k|   0     0 :  40k 1397B:  20k   20k:  61k   22k|   0     0 | 399   469 
  0   0 100   0   0   0|   0     0 :2483k    0 :   0     0 :   0     0 :2483k    0 |   0     0 :  34k   14k: 292k 1003B: 326k   14k|   0     0 | 323   400 
 24   3  71   0   0   1|8958k 8192B:  53M    0 :  25M    0 :  95M    0 : 183M   12k| 633B  633B:  23k 4984B: 134M  184M: 134M  184M|   0     0 |  32k 5109 
 42  11  38   5   0   4| 447M   42k: 242M   46k: 254M   38k: 224M   44k:1167M  196k|   0     0 :  19k   14k: 456M  611M: 456M  611M|   0     0 | 116k   28k
 47  16  24   7   0   6| 224M   38k: 344M   35k: 307M   26k: 614M   39k:1489M  153k|  31B   31B:  27k   11k: 789M  458M: 789M  458M|   0     0 |  83k   46k
 47  18  20   9   0   6| 436M   33k: 491M   31k: 285M   33k: 342M   38k:1554M  150k|   0     0 :  29k   29k: 832M  491M: 832M  491M|   0     0 |  76k   56k
 49  29   7   8   0   6| 353M   48k: 502M   47k: 557M   47k: 372M   66k:1784M  218k|   0     0 :  42k   22k: 787M  347M: 787M  347M|   0     0 |  85k   48k
 41  46   3   5   0   4| 283M  414k: 248M  125k: 368M  111k: 287M  115k:1186M  775k|   0     0 :  32k   59k: 401M  147M: 401M  147M|   0     0 |  63k   19k
 51  36   3   6   0   4| 408M   76k: 295M   46k: 310M   69k: 243M  338k:1256M  594k|   0     0 :  25k   53k: 309M  231M: 309M  231M|   0     0 |  73k   23k
 14  30  24  30   0   2| 142M   49k: 213M   84k: 119M   32k: 133M   81k: 608M  313k|   0     0 :  52k   70k: 289M   77M: 289M   77M|   0   819B|  30k   14k
 18  38  18  22   0   4| 237M   68k: 289M   61k: 313M   26k: 345M   42k:1184M  297k|   0     0 :  33k   61k: 509M  301M: 509M  301M|   0  2458B|  58k   36k
 29  40  11  14   0   5| 337M    0 : 283M   31k: 232M   85k: 390M    0 :1242M  171k|   0     0 :  30k   81k: 617M  392M: 617M  392M|   0    52k|  61k   54k
 14  33  20  27   0   5| 362M   50k: 275M   23k: 141M   64k: 300M   45k:1078M  302k|   0     0 :  39k   65k: 646M  613M: 646M  613M|   0    41k|  55k   41k
 16  26  24  28   0   5| 363M   62k: 354M   72k: 183M   59k: 293M   14k:1192M  290k|   0     0 :  33k   84k: 637M  729M: 637M  729M|   0    18k|  56k   46k
 11  40  18  25   0   6| 298M   22k: 377M   95k: 388M  117k: 388M   26k:1451M  463k|   0     0 :  23k   57k: 764M  839M: 764M  839M|   0    21k|  67k   52k
 25  36  17  19   0   4| 250M   56k: 221M   29k: 271M   10k: 232M   70k: 974M  324k|   0     0 :  26k   80k: 400M  446M: 400M  446M|   0   105k|  57k   51k
 12  55  15  13   0   5| 300M    0 : 250M  819B: 260M    0 : 111M 4096B: 921M  154k|   0     0 :  31k   60k: 591M  522M: 591M  522M|   0   105k|  65k   43k
 14  26  32  22   0   6| 301M   11k: 220M   17k: 350M   16k: 270M   19k:1142M  282k|   0     0 :  23k   58k:1049M  963M:1049M  963M|   0   152k|  75k   69k
 13  35  30  17   0   6| 211M 8192B: 126M 8192B: 193M   14k: 189M 9830B: 719M  179k|   0     0 :  38k   52k:1093M  621M:1093M  621M|   0   105k|  65k   60k
 11  23  36  24   0   6| 306M    0 : 198M 1638B: 169M    0 : 303M  819B: 976M  219k|   0     0 :  32k   58k:1209M  960M:1209M  960M|   0   184k|  73k   66k
  9  28  31  25   0   6| 304M    0 : 192M 4096B: 289M    0 : 346M 4096B:1131M  243k|   0     0 :  25k   52k:1144M 1118M:1144M 1118M|   0   198k|  68k   67k
 10  18  35  30   0   6| 304M   16k: 322M    0 : 261M   24k: 275M    0 :1163M  252k|   0     0 :  54k   58k:1267M 1153M:1267M 1153M|   0   171k|  62k   69k
  9  21  43  21   0   6| 171M    0 : 368M   31k: 318M   24k: 266M   37k:1123M  231k|   0     0 :  37k   47k:1333M 1134M:1333M 1134M|   0    93k|  66k   67k
  8  14  56  16   0   6| 192M   14k: 319M    0 : 251M    0 : 168M    0 : 930M  130k|   0     0 :  31k   53k:1338M  939M:1338M  939M|   0    91k|  62k   67k
  8  19  53  13   0   6| 412M   20k: 224M   18k: 369M   20k: 239M   17k:1243M  232k|   0     0 :  39k   49k:1320M 1277M:1321M 1277M|   0    98k|  64k   67k
  9  17  60   9   0   6| 235M    0 : 429M    0 : 330M   18k: 264M   14k:1258M  182k|   0     0 :  36k   45k:1410M 1307M:1410M 1308M|   0   127k|  63k   69k
  8  14  64   7   0   6| 219M   15k: 393M   14k: 171M    0 : 207M 8192B: 990M   83k|   0     0 :  25k   38k:1475M 1034M:1475M 1034M|   0    25k|  62k   73k
  8  16  66   4   0   6| 367M    0 : 298M    0 : 302M    0 : 255M    0 :1222M   70k|   0     0 :  25k   50k:1343M 1285M:1343M 1285M|   0    33k|  67k   70k
  8  17  64   4   0   6| 251M   23k: 297M   12k: 411M   15k: 318M   18k:1277M  130k|   0     0 :  38k   36k:1344M 1342M:1344M 1342M|   0  7373B|  60k   68k
  9  16  61   9   0   6| 245M   25k: 230M   25k: 460M   29k: 324M   28k:1259M  122k|   0     0 :  33k   45k:1221M 1329M:1221M 1329M|   0     0 |  58k   64k
  8  17  66   4   0   6| 229M  819B: 391M 1638B: 270M 6554B: 322M 4096B:1212M   26k|   0     0 :  39k   35k:1209M 1281M:1209M 1281M|   0     0 |  65k   64k
  7  15  68   5   0   6| 268M 4096B: 265M 4096B: 401M 6554B: 165M 2458B:1099M   62k|   0     0 :  32k   50k:1067M 1165M:1067M 1165M|   0     0 |  71k   67k
  8  15  64   6   0   6| 422M    0 : 365M    0 : 293M    0 : 331M 6554B:1411M   32k|   0     0 :  25k   40k:1122M 1488M:1122M 1488M|   0     0 |  68k   68k
  7  15  66   6   0   6| 326M    0 : 217M  819B: 399M    0 : 230M    0 :1173M   22k|   0     0 :  53k   45k:1184M 1271M:1184M 1271M|   0     0 |  71k   66k
  8  15  64   7   0   6| 260M 1638B: 171M 4096B: 199M    0 : 333M    0 : 963M   32k|   0     0 :  36k   35k:1277M 1117M:1277M 1117M|   0     0 |  65k   64k
  7  13  65   8   0   6| 165M 4915B: 313M    0 : 243M    0 : 281M    0 :1003M   46k|   0     0 :  30k   50k:1230M 1181M:1230M 1181M|   0     0 |  70k   69k
  8  14  63   9   0   6| 301M    0 : 217M 5734B: 201M 6554B: 352M    0 :1071M   27k|   0     0 :  40k   35k:1209M 1283M:1209M 1283M|   0     0 |  67k   68k
  7  14  59  13   0   6| 199M    0 : 199M    0 : 306M    0 : 223M 4096B: 926M   26k|   0     0 :  33k   50k:1150M 1202M:1150M 1202M|   0     0 |  61k   68k
  8  15  64   7   0   6| 222M   30k: 281M   19k: 287M   14k: 239M 8192B:1029M  111k|   0     0 :  26k   32k:1246M 1315M:1246M 1315M|   0     0 |  64k   69k
  7  14  59  13   0   6| 194M   22k: 224M   18k: 206M   21k: 308M   22k: 932M  113k|   0     0 :  24k   47k:1054M 1259M:1054M 1259M|   0     0 |  63k   70k
  7  14  50  23   0   6| 115M   22k: 213M   10k: 249M   14k: 149M   15k: 726M   78k|   0     0 :  32k   25k:1052M 1130M:1052M 1130M|   0     0 |  62k   67k
  7  12  47  28   0   6| 175M   25k: 162M   19k: 141M    0 : 171M    0 : 649M   79k|   0     0 :  24k   42k: 993M 1149M: 993M 1149M|   0     0 |  64k   66k
  6  15  48  25   0   6| 154M    0 : 144M  819B: 144M   22k: 151M   15k: 593M   75k|   0     0 :  40k   20k:1026M 1082M:1027M 1082M|   0     0 |  63k   66k
  6  12  57  19   0   6|  83M    0 :  83M   16k: 133M    0 : 188M    0 : 488M   28k|   0     0 :  33k   40k: 983M  974M: 983M  974M|   0     0 |  78k   67k
