You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   1  95   0   0   0|1388k 3459k:1417k 3469k:1406k 3453k:1381k 3462k:5593k   14M|   0     0 :   0     0 :   0     0 :   0     0 |  31B  187B|1700  2158 
  0   0 100   0   0   0|   0     0 :   0     0 :   0     0 :2458k    0 :2458k 4915B|   0     0 :  54k 6979B: 115B  490B:  57k 7469B|   0     0 | 406   387 
  0   0 100   0   0   0|   0     0 :   0     0 :   0     0 :2483k  290k:2483k  298k|   0     0 :  32k   52B: 338k  333k: 371k  333k|   0     0 |1529  1435 
  5  16  78   0   0   0|   0    13k:   0    13k:   0    12k:2568k   13k:2573k   54k| 942B  942B:  32k 5712B:  11k 2284B:  44k 7996B|   0     0 |2101  1023 
  9  27  64   0   0   0|   0   197k:   0   174k:   0   186k:2048k  184k:2050k  762k|  19k   19k:  39k   52B:5605B   24k:  45k   24k|   0     0 |3539  1808 
 43  36  20   0   0   2|   0   258k:   0   254k:   0   255k:2483k  248k:2483k 1026k| 143M  143M:  34k 5776B: 361M  351M: 361M  351M|   0     0 |  48k   38k
 58  34   4   0   0   3|   0   265k:   0   250k:   0   266k:2074k  260k:2074k 1052k| 341M  341M:  25k   62B: 670M  692M: 670M  692M|   0     0 |  83k   71k
 70  23   3   0   0   4|   0    88k:   0   133k:   0   105k:2048k  100k:2048k  442k| 434M  434M:  21k 5712B: 917M  837M: 917M  837M|   0     0 |  92k   92k
 71  23   2   0   0   4|   0    42k:   0    54k:   0    44k:2483k   38k:2483k  529k| 473M  473M:  30k  616B: 856M  903M: 856M  903M|   0     0 |  93k   89k
 70  25   1   0   0   5|   0    78M:   0   155M:   0   130M:2074k  130M:2074k  493M| 538M  538M:  37k 6253B: 852M  909M: 852M  909M|   0     0 |  87k   88k
 63  29   0   0   0   7| 819B  206M:   0   789M:   0   428M:2483k  839M:2484k 2262M| 445M  445M:  52k   52B:1072M 1049M:1072M 1049M|   0     0 |  66k   87k
 63  30   0   0   0   7|   0   400M:   0   528M: 819B  882M:2048k  478M:2049k 2287M| 433M  433M:  34k 5722B:1039M  939M:1039M  939M|   0     0 |  75k   90k
 60  32   1   0   0   7| 819B  761M:   0    26k:   0  6806k:2483k   30k:2484k  768M| 552M  552M:  23k   52B:1196M 1140M:1197M 1140M|   0     0 |  77k  111k
 53  32   8   0   0   7|   0   181M:   0   960M:   0   155M:2074k  103M:2074k 1399M| 616M  616M:  51k 5912B:1103M 1183M:1103M 1183M|   0     0 | 103k  134k
 44  32  15   2   0   7| 819B  439M:   0   588M:   0   457M:2048k  706M:2049k 2189M| 587M  587M:  32k   52B:1051M 1158M:1051M 1158M|   0     0 |  98k  128k
